"","nh","year","villid","thanaid","agehead","sexhead","educhead","famsize","hhland","hhasset","expfd","expnfd","exptot","vaccess","pcirr","rice","wheat","milk","potato","egg","oil","vill"
"1",11054,1991,1,1,72,1,0,3,36,33295,3055.8564453125,902.2548828125,3958.11206054688,1,0.449999988079071,11,8.5,12,8,2.5,55,1
"2",11101,1991,1,1,44,1,5,7,8,16755,2106.83276367188,265.834381103516,2372.66748046875,1,0.449999988079071,11,8.5,12,8,2.5,55,1
"3",12021,1991,2,1,28,1,8,6,10,18795,3401.240234375,789.907043457031,4191.14697265625,1,0.200000002980232,11.5,8.25,12,8,2.5,54,30
"4",12051,1991,2,1,63,1,6,8,16,20800,3097.73754882812,807.80517578125,3905.54272460938,1,0.200000002980232,11.5,8.25,12,8,2.5,54,30
"5",12081,1991,2,1,26,1,0,6,10,26160,3188.7197265625,487.471466064453,3676.19067382812,1,0.200000002980232,11.5,8.25,12,8,2.5,54,30
"6",12121,1991,2,1,43,1,3,8,5,17080,2179.24755859375,245.269149780273,2424.5166015625,1,0.200000002980232,11.5,8.25,12,8,2.5,54,30
"7",13014,1991,3,1,38,1,7,5,26,30320,3115.93432617188,731.791870117188,3847.72607421875,1,0.5,11,8,11,8,2.5,56,59
"8",13054,1991,3,1,60,1,5,10,15,22490,2471.25854492188,413.696350097656,2884.955078125,1,0.5,11,8,11,8,2.5,56,59
"9",13061,1991,3,1,60,1,0,4,10,25310,2595.16723632812,266.924682617188,2862.09204101562,1,0.5,11,8,11,8,2.5,56,59
"10",13091,1991,3,1,63,1,0,3,19,34010,3055.8564453125,413.333343505859,3469.18969726562,1,0.5,11,8,11,8,2.5,56,59
"11",13101,1991,3,1,44,1,4,6,19,32460,2111.37158203125,289.949676513672,2401.32104492188,1,0.5,11,8,11,8,2.5,56,59
"12",13111,1991,3,1,34,1,0,3,3,4242,3130.953125,648.693664550781,3779.64672851562,1,0.5,11,8,11,8,2.5,56,59
"13",13121,1991,3,1,27,1,0,3,8,11615,2888.3330078125,364.363983154297,3252.6962890625,1,0.5,11,8,11,8,2.5,56,59
"14",21061,1991,1,2,34,1,0,4,1,5340,2833.45532226562,1152.69738769531,3986.15307617188,1,0.75,9,9,12,9,2.25,52,2
"15",22021,1991,2,2,27,1,2,4,18,13020,2821.63891601562,1583.92858886719,4405.56787109375,1,0.75,8,8,10,8,1.5,50,31
"16",22024,1991,2,2,54,1,0,5,14,7580,2122.9248046875,238.096099853516,2361.02099609375,1,0.75,8,8,10,8,1.5,50,31
"17",22031,1991,2,2,34,1,0,3,10,6020,2238.4580078125,178.820007324219,2417.27783203125,1,0.75,8,8,10,8,1.5,50,31
"18",22044,1991,2,2,38,1,0,5,4,2690,1996.04467773438,203.535629272461,2199.58032226562,1,0.75,8,8,10,8,1.5,50,31
"19",22054,1991,2,2,44,1,0,3,1.5,1000,2348.21508789062,269.857360839844,2618.072265625,1,0.75,8,8,10,8,1.5,50,31
"20",22091,1991,2,2,35,1,0,4,11,6190,2170.58276367188,181.942245483398,2352.52465820312,1,0.75,8,8,10,8,1.5,50,31
"21",22101,1991,2,2,32,0,0,4,2,2750,2287.56005859375,177.14665222168,2464.70678710938,1,0.75,8,8,10,8,1.5,50,31
"22",22121,1991,2,2,54,1,8,2,1,1,2986.17553710938,822.177307128906,3808.35302734375,1,0.75,8,8,10,8,1.5,50,31
"23",23031,1991,3,2,32,1,0,4,10,6610,2402.37133789062,146.130065917969,2548.50146484375,1,0.75,8,8,10,8,2.25,52,60
