T,nh,year,villid,thanaid,agehead,sexhead,educhead,famsize,hhland,hhasset,expfd,expnfd,exptot,dmmfd,dfmfd,vaccess,pcirr,rice,wheat,milk,potato,egg,oil,vill,D
1,11054,1998,1,1,79,1,0,2,36,33295,8262.958,1240.3574,9503.3154,0,1,1,.44999999,12.631389,8.1201782,11.503587,8.5474281,2.1992149,40.600895,1,1
1,11101,1998,1,1,48,1,0,7,8,16755,4080.9697,1252.9243,5333.894,0,1,1,.44999999,12.631389,8.1201782,11.503587,8.5474281,2.1992149,40.600895,1,1
1,12021,1998,33,1,35,1,10,5,10,18795,7031.5337,17638.516,24670.049,0,1,1,.2,10.150224,6.0901341,10.826905,6.8684692,2.0300446,43.307621,33,1
0,12051,1998,33,1,26,1,2,3,1,5142.7798,4824.9653,1167.0498,5992.0151,0,0,1,.2,10.150224,6.0901341,10.826905,6.8684692,2.0300446,43.307621,33,0
1,12081,1998,33,1,35,1,0,7,10,26160,4691.1431,2118.3032,6809.4463,0,1,1,.2,10.150224,6.0901341,10.826905,6.8684692,2.0300446,43.307621,33,1
0,13054,1998,65,1,28,1,0,4,4,12978.753,1783.3943,485.51904,2268.9133,0,0,0,.75,9.0224209,6.0901341,10.826905,6.1053057,2.0300446,40.600895,65,0
1,13091,1998,65,1,70,1,0,4,19,34010,3259.575,6084.8896,9344.4648,1,0,0,.75,9.0224209,6.0901341,10.826905,6.1053057,2.0300446,40.600895,65,1
1,13101,1998,65,1,55,1,0,4,19,32460,3524.1575,755.34595,4279.5034,0,1,0,.75,9.0224209,6.0901341,10.826905,6.1053057,2.0300446,40.600895,65,1
1,13121,1998,65,1,36,1,0,4,8,11615,3074.8411,2156.5842,5231.4253,0,1,0,.75,9.0224209,6.0901341,10.826905,6.1053057,2.0300446,40.600895,65,0
1,22021,1998,34,2,37,1,0,5,18,13020,2264.447,605.76563,2870.2126,0,1,1,.85000002,9.0224209,6.0901341,8.1201782,6.1053057,1.6917039,35.187439,34,1
0,22024,1998,34,2,50,1,0,7,1.5,1353.3632,1301.7419,245.24878,1546.9907,0,0,1,.85000002,9.0224209,6.0901341,8.1201782,6.1053057,1.6917039,35.187439,34,0
1,22031,1998,34,2,37,1,0,4,10,6020,2127.8252,453.20752,2581.0327,0,1,1,.85000002,9.0224209,6.0901341,8.1201782,6.1053057,1.6917039,35.187439,34,1
