"water distribution shortages"	"infrastructure damage"	"agricultural production issues"	"agricultural production issues"	0.627120753
"toll on livestock"	"water distribution shortages"	"agricultural production issues"	"agricultural production issues"	0.686838548
"livestock had died"	"harvests are devastated"	"agricultural production issues"	"agricultural production issues"	0.693995409
"harvests are devastated"	"disruption to farming"	"agricultural production issues"	"agricultural production issues"	0.689928219
"water distribution shortages"	"harvests are devastated"	"agricultural production issues"	"agricultural production issues"	0.734754099
"toll on livestock"	"lack of agricultural infrastructure"	"agricultural production issues"	"agricultural production issues"	0.68304475
"transport bottleneck"	"failed crops"	"agricultural production issues"	"agricultural production issues"	0.752502357
"toll on livestock"	"disruption to farming"	"agricultural production issues"	"agricultural production issues"	0.709533366
"harvests are devastated"	"bad harvests"	"agricultural production issues"	"agricultural production issues"	0.701608393
"bad harvests"	"unable to sow"	"agricultural production issues"	"agricultural production issues"	0.612016564
"lack of roads"	"disruption to farming"	"agricultural production issues"	"agricultural production issues"	0.58348169
"infrastructure damage"	"bad harvests"	"agricultural production issues"	"agricultural production issues"	0.686143303
"livestock had died"	"infrastructure damage"	"agricultural production issues"	"agricultural production issues"	0.668349315
"livestock had died"	"harvest decline"	"agricultural production issues"	"agricultural production issues"	0.712135725
"toll on livestock"	"transport bottleneck"	"agricultural production issues"	"agricultural production issues"	0.67414569
"cattle death"	"lack of cultivation"	"agricultural production issues"	"agricultural production issues"	0.783746485
"lack of agricultural infrastructure"	"harvests are devastated"	"agricultural production issues"	"agricultural production issues"	0.64984399
"cattle death"	"transport bottleneck"	"agricultural production issues"	"agricultural production issues"	0.720508594
"livestock had died"	"lack of roads"	"agricultural production issues"	"agricultural production issues"	0.652740089
"bad harvests"	"lack of cultivation"	"agricultural production issues"	"agricultural production issues"	0.656887995
"toll on livestock"	"harvests are devastated"	"agricultural production issues"	"agricultural production issues"	0.733295876
"cattle death"	"water distribution shortages"	"agricultural production issues"	"agricultural production issues"	0.663556059
"failed crops"	"transport bottleneck"	"agricultural production issues"	"agricultural production issues"	0.623524547
"failed crops"	"lack of cultivation"	"agricultural production issues"	"agricultural production issues"	0.687137416
"lack of roads"	"toll on livestock"	"agricultural production issues"	"agricultural production issues"	0.806892313
"lack of roads"	"bad harvests"	"agricultural production issues"	"agricultural production issues"	0.634693863
"disruption to farming"	"infrastructure damage"	"agricultural production issues"	"agricultural production issues"	0.598545121
"harvests are devastated"	"lack of cultivation"	"agricultural production issues"	"agricultural production issues"	0.658009191
"water distribution shortages"	"lack of agricultural infrastructure"	"agricultural production issues"	"agricultural production issues"	0.566292705
"failed crops"	"livestock had died"	"agricultural production issues"	"agricultural production issues"	0.583081738
