StudentID,entrance,female,outside_kabul,kabuluni,shariah,yrsgrad,treat,pre,post,gain
7,62,1,0,1,1,1,0,75,80,5
14,78,0,1,1,1,1,1,75,85,10
18,63,1,0,1,1,1,0,80,80,0
19,56,1,1,1,1,1,1,60,100,40
31,74,0,1,0,1,1,0,75,95,20
36,77,1,1,1,1,1,1,95,100,5
44,58,1,1,1,1,1,1,70,100,30
45,65,1,1,1,1,1,1,85,85,0
47,69,0,1,1,0,1,1,75,95,20
48,58,0,1,1,0,1,1,90,100,10
49,72,0,1,1,0,1,1,80,90,10
50,62,0,1,1,0,1,0,65,75,10
57,66,0,1,1,0,1,1,65,90,25
59,71,0,1,1,0,1,1,85,95,10
60,78,0,0,1,0,1,0,75,85,10
61,59,0,0,1,0,2,0,60,80,20
86,56,0,1,0,0,1,1,50,75,25
92,61,0,1,1,1,1,1,60,75,15
94,65,1,0,1,1,1,0,80,90,10
96,74,0,0,0,0,1,0,80,85,5
97,56,0,1,0,0,1,1,80,75,-5
102,70,0,1,1,0,1,1,80,95,15
103,75,0,1,1,0,1,1,85,90,5
115,58,1,1,1,1,1,1,70,100,30
117,70,1,0,1,1,1,1,90,100,10
126,64,0,0,1,0,1,1,80,75,-5
127,56,0,1,1,0,1,1,60,95,35
129,55,0,1,1,0,1,0,50,40,-10
131,63,0,1,1,0,1,0,65,65,0
132,75,0,1,1,0,0,1,85,95,10
134,69,0,0,1,0,1,1,55,90,35
135,73,0,1,1,0,1,1,65,80,15
154,48,0,1,0,1,1,0,45,35,-10
158,75,0,1,1,0,1,1,85,90,5
159,63,0,1,1,0,0,1,75,95,20
160,70,1,1,1,0,1,1,65,90,25
161,79,1,1,1,0,1,1,100,80,-20
162,71,1,1,1,0,1,0,80,70,-10
163,62,1,0,1,1,1,1,55,85,30
164,65,0,1,1,1,1,1,70,95,25
166,66,0,1,1,0,1,1,60,80,20
169,61,0,1,1,0,1,1,65,80,15
171,58,0,1,0,0,1,1,65,95,30
175,65,0,1,0,0,2,1,65,75,10
185,63,0,0,0,1,1,1,75,90,15
197,75,0,1,0,0,1,1,85,90,5
205,64,1,0,1,1,1,1,80,80,0
206,72,1,0,1,1,1,1,65,90,25
214,57,0,1,0,1,1,1,55,85,30
217,59,1,1,1,0,1,0,85,80,-5
220,73,0,1,1,1,1,0,79.4,85,5.599999999999994
222,51,0,1,1,1,1,1,60,80,20
223,77,0,1,1,1,1,1,90,95,5
224,54,0,0,1,1,5,0,65,60,-5
225,66,0,1,1,1,1,0,55,95,40
226,69,0,1,1,1,1,1,75,95,20
229,68,0,1,1,1,1,0,70,90,20
231,70,0,1,1,1,1,1,75,85,10
236,72,0,1,1,1,1,0,80,85,5
240,64,0,1,1,1,1,0,75,75,0
242,76,0,1,1,1,1,0,75,90,15
255,52,1,1,1,1,1,0,55,85,30
268,71,1,0,1,1,1,0,85,95,10
269,64,1,0,1,1,1,1,80,95,15
270,69,0,0,1,0,1,0,70,80,10
271,68,1,1,1,0,1,1,80,90,10
272,72,0,0,1,0,1,0,70,85,15
273,60,0,0,1,0,1,1,55,90,35
274,67,0,1,1,0,1,1,80,95,15
307,54,0,1,1,0,16,0,55,50,-5
318,58,0,1,0,0,1,1,70,95,25
320,63,0,1,0,0,1,1,80,95,15
326,59,0,1,0,1,2,0,75,90,15
331,58,0,0,1,0,1,1,50,90,40
332,64,0,1,1,0,1,1,75,90,15
