label,data_name,description,type,vis_conditions,choices_s,,,,,,
Consent,consent,null,Section,,,,,,,,
"Hello.  My name is ________________. I work for Integrity Global South Sudan, and we are conducting a survey of homes in your community. The purpose is to better understand how assistance provided by the United States Agency for International Development (USAID) in South Sudan can benefit communities. Your household was selected to participate in an interview that may take up to forty-five (45) minutes to complete. We will interview you and other members of your household as needed.

Your participation is completely voluntary. There are no known risks or discomforts associated with this survey. There will be no benefit provided to you because of your participation. We hope you will agree to answer the questions since your views and experiences are important. If I ask you any questions you don't want to answer, let me know and I will go on to the next question. You can also stop the interview at any time. The data collected in this survey may be used as part of a study in the future. If your household is selected for future study, then a second survey will be conducted. If you agree to participate in the second survey, the data from this survey will be used for comparison. If you decide not to participate in either survey or if you withdraw from participating at any time, you will not be penalized in any way.
Your privacy is important to us. No part of this interview is being recorded or videoed. If you agree to participate, some of the information you provide will be available on a public website that researchers and others will be able to access without identifying you. The information will be entered into a database that will NOT contain confidential information such as your name or the name of your village that could be used to identify you. Any data attached to your personal information will be stored in a password protected electronic format.

Do you have any questions about the survey or what I have said? If in the future you have any questions regarding the survey or the interview, or concerns or complaints, we welcome you to contact Frank Kabudula the Deputy Chief of Party of MELS in Juba, South Sudan at +211-926-145-323.

The interview will take about 45 minutes. ",hello_my_name_is_i_work_for_management_systems_international_msi_south_sudan_and_we_are_conducting_a_survey_of_homes_in_your_community_the_purpose_is_to_better_understand_how_assistance_provided_by_united_states_agency_for_international_development_usaid_in_south_can_benefit_communitiesyou_do_not_have_participate_in_this_interview_if_you_do_not_want_to_you_will_receive_no_reward_for_participating_if_you_agree_to_participate_in_the_interview_you_should_understand_that_we_will_collect_your_name_which_is_personally_identifiable_information_pii_this_pii_will_be_kept_private_only_members_of_the_survey_team_and_research_team_for_msi_south_sudan_will_have_access_to_this_information_which_will_be_anonymized_in_our_data_base_the_responses_you_provide_will_not_be_recorded_with_your_pii_the_rest_of_the_responses_and_observations_you_provide_will_be_combined_with_responses_from_other_people_by_our_research_team_the_combined_answers_to_questions_will_be_placed_in_an_on_line_database_so_usaid_can_understand_how_well_its_assistance_is_working_in_communities_of_south_sudan_this_means_that_while_we_will_share_findings_outside_of_msi_south_sudan_no_one_will_know_that_you_participated_or_how_you_answered_the_questionsduring_the_interview_you_can_ask_me_to_clarify_any_question_or_repeat_something_if_you_do_not_understand_if_you_do_not_want_to_answer_a_question_let_me_know_and_we_can_move_on_to_other_questions_you_can_stop_the_interview_at_any_time_there_are_no_right_or_wrong_answers_we_greatly_appreciate_your_cooperationif_after_the_interview_you_have_any_questions_you_can_ask_me_or_later_contact_mike_salla_at_msi_in_juba_south_sudan_at_211_920_456_666the_interview_will_take_about_75_minutes_,null,Label,,,,,,,,
Participant consents to interview,101,null,YesNoField,,"Yes:1, No:2",,,,,,
Identification and Information,identification_and_information,null,Section,Participant consents to interview equal to 1,,,,,,,
State > County > Payam > Village,state_county_payam_village,null,ClassificationField,,,,,,,,
Location,206,null,SingleChoice,,"Rural:1, Urban:2",,,,,,
Name of Head of Household,207,null,TextField,,,,,,,,
Name of Respondent,208,null,TextField,,,,,,,,
Sex of Respondent,sex_of_respondent,null,SingleChoice,,"Male:Male, Female:Female",,,,,,
Interviewer Name,210_a,null,TextField,,,,,,,,
Identification Number,210_b,null,TextField,,,,,,,,
Interview Date,209,null,DateTimeField,,,,,,,,
Time Started,212,null,TimeField,,,,,,,,
Household Schedule,household_schedule,null,Section,Participant consents to interview equal to 1,,,,,,,
