KII ID,row,County/Akobo,Gender/Female,Intervention Type/Advocacy,Intervention Type/Peacebuilding,Perception of Stresses/Improved,Programming Gaps/Health,Resilience,Respondent Type/Government,Shocks/Drought,Shocks/Fincial,Shocks/Hunger,Stresses/Conflict,Gender/Male,Intervention Type/Livelihoods,Programming Gaps/Capacity Building,Programming Gaps/Violence Prevention,Respondent Type/CSO_NGO Worker,Intervention Type/Humanitarian,Perception of Stresses/Worsened,Programming Gaps/Agriculture,Programming Gaps/Infastructure,Intervention Type/Economic,Programming Gaps/Fincial,Shiocks/Food,Shocks/Flood,Respondent Type/Youth Leader,Stresses/Climate Change,County/Budi,Programming Gaps/Infrastructure,Programming Gaps/Protection,Programming Gaps/Life skills,Shocks/Pests,Intervention Type/Agriculture,Intervention Type/Protection,Programming Gaps/WASH,Shocks/Pest,Vulnerable Populations/Women,Programming Gaps/Education,Respondent Type/Private Sector,County/Jur River,Intervention Type/Education,Intervention Type/Nutrition,Intervention Type/Humanitarian Assistance,Intervention Type/Infrastructure,Perception of Stresses/Same,Intervention Type/Health services,Shocks/Medical Condition,County/Kapoeta North,"Programming Gaps/Violence Prevention
Programming Gaps/Peacebuilding?",Respondent Type/Community Leader,Intervention Type/WASH,Programming Gaps/Coordition,Respondent Type/Women Leader,Programming Gaps/ROL,County/Pibor,Stresses/Protection,Stresses/Unemployment,Respondent Type/IPs,County/Wau,Intervention Type/Peabuilding,Stresses/Corruption,Vulnerable Populations/Youth
Akobo_KII_1,1,Akobo,Female,"Among my roles are: conflict resolution in the community, identifying vulnerable households and have them priotritized in humanitarian aids
Involve in decision making concerning the community
Advocating for community self reliance through farming "" I even have a farm as a demonstration to the rest of the community members that it's important to make your own food and not rely on humanitarian assistance.""
Advocating for peaceful co-existence amongst the community members.","Peace dialogues and youth patroling helped a lot 
""People are now able to farm with fear knowing that youth are out there to protect them.""","""Over the past few years, there was rampant revenge killing throughout the county but it has subsided since the turn of this year thanks to peace dialogues spearheaded by conflict magement and peace making NGOs and religious leaders."" There are sports matches organized across the county and they bring youth from rival/reveng killing-affected communities together.
","Education and health services are lacking in the payams like Nyandit and Dengjock ""when someone is severely sick, they have to be carried up to Akobo Hospital, a distance of about 2-3 hours.""
""Peace building efforts should be scaled up.""","Building the capacity of the community on self-reliance (through farming) ,peaceful co-existence , and emergence preparedness.","Payam Administrator, Local Authority","Hunger from January-March 2023 as a result of dry spelt last year which dried up the crops planted between May-July and too much rain between July-September 2022.
","Persistent increase in commodity prices
","""Before the current food distribution, some families used to go a whole day or two without eating food in the house""","Conflict (cattle raiding and child abduction) with the neighboring community from Pibor
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akobo_KII_1,2,,,,,,,,,,,,"""In January, people migrated to fishing camps for survival but Murle (youth from Pibor) frequently killed people and abducted children and women.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akobo_KII_2,2,Akobo,,,"Peacebuilding, advocate against gender-based or domestic violence (forced/early marriage)
Dissemiting peace messages and equal rights through distribution of radios with pre-recorded messages
Organizing sports events to bring youth together
Integrate health education in peace dialogue sessions
Engage community leaders to step up against revenge killing cycle
","""The situation has improved this year as cases of revenge killings have reduced compared to previous years thanks to peacebuilding efforts by partners.
P2R project has enhanced the food security situation as well through provision of cash for buying food.""	
	
	
	
	
	
	
	
	
",,,,"Dry spelt and then too much rain that destroyed crops and disrupted farming activities
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akobo_KII_2,1,,,,,,,,,,,,,Male,Cash for work-CRS,Assistance is given to the community but they are not provided with the trainings in self reliance  that is why they expect the aid to continue forever.,Youth from Akobo west seem to have not been reached by peacebuilding and conflict resolution activities; because most of the revenge killing incidents that have occurred this year are ignited by them.,"CSO Rep, Gender Engagement Call (GEC)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akobo_KII_2,3,,,,"Peace dialogues and conflict resolutions-Shejeh Salam and local authorities
",,,,,,,,"Conflicts with Pibor youth have led to most homes and villages being deserted.
Inter-commul conflicts. Women and children are mostly susceptible to abduction in these conflicts (chidren were abducted while in the fishing camp a couple of months ago)
Women go to fetch wild food or firewood and get abducted/killed.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akobo_KII_2,4,,,,"Peace dialogues have reduced revenge killings to a greater extent.
People can now engage in farming activities without fear of revenge attacks",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akobo_KII_3,3,Akobo,,,,revenge killing has reduced,,,,"""Dry spelt from April to June followed by excessive rain
Murle attacks
Revenge killing""	
	
	
	
	
	
	
	
	
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akobo_KII_3,2,,,,,,,,,,,,,Male,,,,"RRC Coorditor, Relief and Rehabilitation Commission",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akobo_KII_3,1,,,,,,,,,,,,,,,,,,"Conduct needs assessments and contribute to the mobilization of resources for disaster responses
Direct humanitarian assistance to community members most vulnerable",Food security situation has worsened as crops were destroyed by dry spelt and excessive rain last year,Community members are ready to farm but agricultural tools such oxplough which could allow big scale farming are lacking,"There are NGOs implementing WASH but there is insufficiency of boreholes in the payams such as Nyandit, Dengjok and Gakdong.
There are some items that are distributed without prior assessment of the community preferrences; these include distribution of farming tools which are not being used resulting to a waste of resources.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akobo_KII_3,4,,,,,Peace dialogues and youth patroling have reduced revenge killing and abduction cases respectively.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
