KII ID,row,Intervention Type/Peacebuilding,Programming Gaps/Peacebuilding,Shocks/Flood,Programming Gaps/Agriculture,Stresses/Conflict,Intervention Type/Nutrition,Shocks/Financial,Intervention Type/Agriculture,Programming Gaps/Education,Shocks/Pests,Intervention Type/Protection,Programming Gaps/WASH,Intervention Type/Livelihoods,Programming Gaps/Life Skills,Shocks/Drought,Programming Gaps/Infastructure,Intervention Type/Infrastructure,Stresses/Security Issues,Stresses/Poverty,Intervention Type/Economic,Programming Gaps/Protection,Shocks/Medical Condition,Programming Gaps/Health,Intervention Type/Education,Programming Gaps/Coordination,Intervention Type/Health services,Intervention Type/WASH,Programming Gaps/Infrastructure,Programming Gaps/Violence Prevention,Programming Gaps/Life skills,Programming Gaps/Nutrition,Vulnerable Population/Women,Vulnerable Populations/Youth,Stresses/Drought,Perception of Stresses/Worsened,Programming Gaps/M&E,Vulnerable Populations/Children,Pereption of Stresses/Worsened
Akobo_KII_1,1,"Among my roles are: conflict resolution in the community, identifying vulnerable households and have them priotritized in humanitarian aids
Involve in decision making concerning the community
Advocating for community self reliance through farming "" I even have a farm as a demonstration to the rest of the community members that it's important to make your own food and not rely on humanitarian assistance.""
Advocating for peaceful co-existence amongst the community members.","Education and health services are lacking in the payams like Nyandit and Dengjock ""when someone is severely sick, they have to be carried up to Akobo Hospital, a distance of about 2-3 hours.""
""Peace building efforts should be scaled up.""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Akobo_KII_1,2,"""Over the past few years, there was rampant revenge killing throughout the county but it has subsided since the turn of this year thanks to peace dialogues spearheaded by conflict management and peace making NGOs and religious leaders."" There are sports matches organized across the county and they bring youth from rival/reveng killing-affected communities together.
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Akobo_KII_2,1,NA,NA,"Dry spelt and then too much rain that destroyed crops and disrupted farming activities
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Akobo_KII_3,1,NA,NA,NA,"There are NGOs implementing WASH but there is insufficiency of boreholes in the payams such as Nyandit, Dengjok and Gakdong.
There are some items that are distributed without prior assessment of the community preferrences; these include distribution of farming tools which are not being used resulting to a waste of resources.","""Dry spelt from April to June followed by excessive rain
Murle attacks
Revenge killing""	
	
	
	
	
	
	
	
	
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Akobo_KII_4,1,NA,NA,NA,NA,NA,"Supplying commodities to the market; identify demand gaps and avail the demanded items
Give food on credit during times of food scarcity and wait until they are able to pay back","In the last 12 months, hunger has been very severe as crops were destroyed by too much rain and food assistance delayed.
Prices of commodities have gone up from the supply source which is Ethiopia and consequently have risen here as well",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Akobo_KII_4,2,NA,NA,NA,NA,"Too much rain that destroyed crops which resulted in hunger 
Lack of roads led to scarcity of commodities 
Revenge killing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Akobo_KII_5,1,NA,NA,NA,NA,NA,NA,NA,"Involve in conflict resolution initiatives on revenge killings
Advocate for self reliance through agriculture (this awareness is carried out through Youth Sub-offices in the payams)
We have formed farming and fishing groups to showcase livelihood disversification.","Agricultural tools
Primary education in the payams is lacking
Primary health care in the payams is also on and off",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Akobo_KII_5,3,NA,NA,NA,NA,"Hunger caused by too much rain and delay of food aid as people depend on food aid
Murle attacks (abduction, killing and cattle raiding)
Revenge killing
High prices caused by lack of roads",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Budi_KII_10,2,NA,NA,NA,NA,NA,NA,NA,"Humanitarian assistance by NGOs,  sell of animals, early planting of crops and diversifiaction of diet; alternative source of livelihoods;",poor road networks; poor telecommunication networks across the county except chukudum town; inadquate health care centers; poor education system due to unqualified teachers.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Budi_KII_10,3,NA,NA,NA,NA,NA,NA,NA,"alternative source of livelihoods such as VSLA activities, petty trade and early planting of crops is more useful",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Budi_KII_10,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"prolong dry spell that occurred between May-Oct 2022 leads to poor harvest, low market linkages, food insecurity in some HHs animal diseases which started since 2019 up to date, limited vetinary services;  water scarcity in places like kimantong, Nauro,lotukei etc; women are mostly affected due to high price increases, their main livelihoods farming was affceted as a result of long dry spell and pest & diseases.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Budi_KII_11,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"He is the deputy youth leader for Budi county, the support the community  by participating in peace dialoque organize by Ips ( CDSS,ROG, CRS); sensitize the youth in different payams on the danger of conflicts, GBVs, rubbery, road ambush,  too much alcohol consumption & advocate for youth participation in farming as well as use of local seeds that resist drought.","limited life skills activities across the county, poor hygiene & sanitation , lack of referal pathway for GBV survisors, insecurity, inadquate sources of safe drinking water, lack of mechanised equipments like tractors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Budi_KII_11,2,NA,NA,NA,"inaccessibility to other Payams and big towns due to bad roads, Poor education system & lack of government scholarship, animal diseases and limited vetinery services, lack of Haffir for animals during dry season, lack of vocational training center for the youth & women",NA,NA,NA,NA,NA,NA,"Approaches use includes: peace dialoque with neighboring community facilitated by Ips; community sensitization on the dangers of GBVs; alcohol, road rubbery etc to youths, danger of bush burning, sensitizing youth on good management skills of their resoruces arcoss the county, training of youth on livelihoods skills and establishment of small business to support livelihoods.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Budi_KII_11,4,NA,NA,NA,NA,"Main shocks & stressor includes pest & diseases ( fall army worm occurred in April-May 2022), prolong dry spell, high rate of alcohol consumptions, insecurity due to cattle raiding, road ambush, rubbery etc; high rate of GBVs cases across the county results into killing, sucide, girl child compensation in case a person is killed during a fight, women are mostly affected by the shocks & stressor compare to men as they take all the family burden.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Budi_KII_12,4,NA,NA,NA,NA,NA,NA,NA,"Trainings & senisitaization of the community on the danger of GBVs, trauma healing activities by Ips like ROG,  training on the best agronomic practices",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Budi_KII_12,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"There is gap in education system, inadqaute safe drinking water sources across the county, poor roadnets affects movement mostly during rain seasons and leads to increase of food prices in market",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Budi_KII_12,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"lack of mechanized agricultural equipments, inadqaute health care centers mostly in the uplands, and poor road conditions leads to high maternal moterlity rate, poor telecommunication network except chukumdum town.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Budi_KII_12,5,NA,NA,NA,NA,"Pest & diseases ( fall army worm affects harvest in April-May), insecurity, high rate of GBVs cases at HHs level, many community members are truamatize due to the loss of their ones, separtion from their children due to the war etc.  How it affects: it create fears among the community and limit access to farms that are far from home areas, led to loss of lives, women are mostly affecetd because they carry great burden of families.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Budi_KII_6,5,NA,NA,NA,NA,NA,NA,NA,"He is the deputy youth leader for Budi county, the support the community  by participating in peace dialoque organize by Ips ( CDSS,ROG, CRS); sensitize the youth in different payams on the danger of conflicts, GBVs, rubbery, road ambush,  too much alcohol consumption & advocate for youth participation in farming as well as use of local seeds that resist drought.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Budi_KII_6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Approaches use includes: peace dialoque with neighboring community facilitated by Ips; community sensitization on the dangers of GBVs; alcohol, road rubbery etc to youths, danger of bush burning, sensitizing youth on good management skills of their resoruces arcoss the county, training of youth on livelihoods skills and establishment of small business to support livelihoods.","limited life skills activities across the county, poor hygiene & sanitation , lack of referal pathway for GBV survisors, insecurity, inadquate sources of safe drinking water, lack of mechanised equipments like tractor","Main shocks & stressor includes pest & diseases (fall army worm occurred in April-May 2022), prolong dry spell, high rate of alcohol consumptions, insecurity due to cattle raiding, road ambush, rubbery etc; high rate of GBVs cases across the county results into killing, sucide, girl child compensation in case a person is killed during a fight, women are mostly affected by the shocks & stressor compare to men as they take all the family burden.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Budi_KII_6,3,NA,NA,NA,NA,NA,NA,NA,NA,"inaccessibility to other Payams and big towns due to bad roads, Poor education system & lack of government scholarship, animal diseases and limited vetinery services, lack of Haffir for animals during dry season, lack of vocational training center for the youth & women",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Budi_KII_7,6,NA,NA,NA,NA,"Pest & diseases ( fall army worm affects harvest in April-May), insecurity, high rate of GBVs cases at HHs level, many community members are truamatize due to the loss of their ones, separtion from their children due to the war etc.  How it affects: it create fears among the community and limit access to farms that are far from home areas, led to loss of lives, women are mostly affecetd because they carry great burden of families.",NA,NA,"A bit of improvement  in agricultural sector due to trainings on best agronomic practices, distribution of small ruminants animals like goats to widows & people with disability has improve livelihoods.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Budi_KII_7,3,NA,NA,NA,"lack of mechanized agricultural equipments, inadqaute health care centers mostly in the uplands, and poor road conditions leads to high maternal moterlity rate, poor telecommunication network except chukumdum town.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Budi_KII_7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"There is gap in education system, inadqaute safe drinking water sources across the county, poor roadnets affects movement mostly during rain seasons and leads to increase of food prices in market",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Budi_KII_9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Iam a  business man and deals with supply of constructions materials; we do support the community with building materials that we bring from Uganda; we supply agricultural inputs such as tools, seeds,ox-plough etc","Insecurity incidents in Kikilai  to Uganda road that occurred in May 2022 affects movement & businessmen; long dry spell from  Aug-Dec 2022; bad road networks limits access to other payams & big towns especially during rain season, high transport cost- leads to high market prices,  the effect of shocks & stressor in the county is,  there is increase in the prices of local produces, increase in GBVs cases at HHs due the demand for money women got from cash for work activities. women are mostly affected as they carry the family burden, men resorted to drinking alcohol as it's more cheeper than buying food from the market,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
