study,info,perception,perception_ord
Afghanistan,1,1,1
Afghanistan,1,1,1
Afghanistan,1,1,1
Afghanistan,1,0,-1
Afghanistan,0,1,1
Afghanistan,0,0,-1
Afghanistan,0,1,1
Afghanistan,1,0,0
Afghanistan,1,0,0
Afghanistan,0,0,0
Afghanistan,0,0,0
Afghanistan,0,0,0
Afghanistan,0,1,1
Afghanistan,1,1,1
Afghanistan,1,1,1
Afghanistan,1,1,1
Afghanistan,1,1,1
Afghanistan,1,0,0
Afghanistan,1,1,1
Afghanistan,0,1,1
Afghanistan,0,0,0
Afghanistan,0,1,1
Afghanistan,0,1,1
Afghanistan,1,1,1
Afghanistan,1,1,1
Afghanistan,1,0,-1
Afghanistan,1,0,-1
Afghanistan,0,0,0
Afghanistan,0,1,1
Afghanistan,0,0,-1
Afghanistan,0,1,1
Afghanistan,1,1,1
Afghanistan,1,0,0
Afghanistan,1,0,0
Afghanistan,0,1,1
Afghanistan,0,0,-1
Afghanistan,0,1,1
Afghanistan,0,1,1
Afghanistan,1,1,1
Afghanistan,1,1,1
Afghanistan,1,0,-1
Afghanistan,1,1,1
Afghanistan,0,1,1
Afghanistan,0,1,1
Afghanistan,0,1,1
Afghanistan,0,1,1
Afghanistan,1,0,0
Afghanistan,1,0,0
Afghanistan,1,1,1
Afghanistan,1,1,1
Afghanistan,0,0,0
Afghanistan,0,0,0
Afghanistan,0,1,1
Afghanistan,0,0,0
Afghanistan,1,1,1
Afghanistan,1,0,0
Afghanistan,1,0,-1
Afghanistan,1,0,0
Afghanistan,0,0,0
Afghanistan,0,1,1
Afghanistan,0,1,1
Afghanistan,0,0,0
Afghanistan,1,0,-1
Afghanistan,1,1,1
Afghanistan,1,0,-1
Afghanistan,0,1,1
Afghanistan,1,1,1
Afghanistan,0,0,-1
Afghanistan,0,0,-1
Afghanistan,0,0,-1
Afghanistan,1,0,-1
Afghanistan,1,1,1
Afghanistan,1,0,0
Afghanistan,1,1,1
Afghanistan,0,1,1
Afghanistan,0,0,0
Afghanistan,0,1,1
Afghanistan,0,1,1
Afghanistan,1,1,1
Afghanistan,1,1,1
Afghanistan,1,0,-1
Afghanistan,1,1,1
Afghanistan,0,0,-1
Afghanistan,0,1,1
Afghanistan,0,1,1
Afghanistan,0,0,-1
Afghanistan,1,1,1
Afghanistan,1,1,1
Afghanistan,1,1,1
Afghanistan,0,1,1
Afghanistan,0,0,0
Afghanistan,0,1,1
Afghanistan,0,1,1
Afghanistan,1,1,1
Afghanistan,1,1,1
Afghanistan,1,0,-1
Afghanistan,1,1,1
Afghanistan,0,0,-1
Afghanistan,0,1,1
Afghanistan,0,1,1
Afghanistan,0,1,1
Afghanistan,1,1,1
Afghanistan,1,0,0
Afghanistan,1,0,-1
Afghanistan,1,0,0
Afghanistan,0,0,-1
Afghanistan,0,1,1
Afghanistan,0,0,0
Afghanistan,0,0,0
Afghanistan,1,1,1
Afghanistan,1,0,0
Afghanistan,1,1,1
Afghanistan,1,1,1
Afghanistan,0,1,1
Afghanistan,0,0,-1
Afghanistan,0,1,1
Afghanistan,0,1,1
Afghanistan,1,1,1
Afghanistan,1,0,0
Afghanistan,1,0,0
Afghanistan,1,0,0
Afghanistan,0,1,1
Afghanistan,0,0,0
Afghanistan,0,0,0
Afghanistan,0,1,1
Afghanistan,1,1,1
Afghanistan,1,0,-1
Afghanistan,1,1,1
Afghanistan,1,1,1
Afghanistan,0,0,0
Afghanistan,0,1,1
Afghanistan,0,1,1
Afghanistan,0,1,1
Afghanistan,1,1,1
Afghanistan,1,1,1
Afghanistan,0,0,0
Afghanistan,1,1,1
Afghanistan,1,1,1
Afghanistan,0,1,1
Afghanistan,0,1,1
Afghanistan,0,1,1
Afghanistan,1,1,1
Afghanistan,1,1,1
Afghanistan,1,1,1
Afghanistan,1,1,1
Afghanistan,0,1,1
Afghanistan,0,1,1
Afghanistan,0,0,0
Afghanistan,0,1,1
Afghanistan,1,1,1
Afghanistan,1,1,1
Afghanistan,1,1,1
Afghanistan,1,1,1
Afghanistan,0,1,1
Afghanistan,0,1,1
Afghanistan,0,1,1
Afghanistan,0,1,1
Afghanistan,1,1,1
Afghanistan,1,1,1
Afghanistan,1,1,1
Afghanistan,1,1,1
Afghanistan,0,0,-1
Afghanistan,0,1,1
Afghanistan,0,1,1
Afghanistan,0,0,-1
Afghanistan,1,1,1
Afghanistan,1,1,1
Afghanistan,1,1,1
Afghanistan,1,1,1
Afghanistan,0,1,1
Afghanistan,0,1,1
Afghanistan,0,1,1
Afghanistan,0,1,1
Afghanistan,1,1,1
Afghanistan,1,0,0
Afghanistan,1,0,-1
Afghanistan,1,0,-1
Afghanistan,0,0,-1
Afghanistan,0,0,0
Afghanistan,0,0,0
Afghanistan,0,1,1
Afghanistan,1,1,1
Afghanistan,1,0,0
Afghanistan,1,0,0
Afghanistan,1,0,-1
Afghanistan,0,0,0
Afghanistan,0,1,1
Afghanistan,0,1,1
Afghanistan,0,0,-1
Afghanistan,1,0,-1
Afghanistan,1,0,0
Afghanistan,1,0,-1
Afghanistan,1,1,1
Afghanistan,0,0,0
Afghanistan,0,0,-1
Afghanistan,0,0,0
Afghanistan,1,1,1
Afghanistan,1,1,1
Afghanistan,1,1,1
Afghanistan,1,1,1
Afghanistan,0,1,1
Afghanistan,0,1,1
Afghanistan,0,1,1
Afghanistan,0,1,1
Afghanistan,1,1,1
Afghanistan,1,0,-1
Afghanistan,1,0,0
Afghanistan,1,0,-1
Afghanistan,0,1,1
Afghanistan,0,0,-1
Afghanistan,0,0,-1
Afghanistan,0,0,-1
Afghanistan,0,0,-1
Afghanistan,0,0,-1
Afghanistan,0,1,1
Afghanistan,0,0,-1
Afghanistan,1,1,1
Afghanistan,1,1,1
Afghanistan,1,0,-1
Afghanistan,1,1,1
Afghanistan,1,1,1
Afghanistan,1,1,1
Afghanistan,1,1,1
Afghanistan,0,1,1
Afghanistan,0,0,0
Afghanistan,0,1,1
Afghanistan,0,0,0
Afghanistan,1,1,1
Afghanistan,1,1,1
Afghanistan,1,0,-1
Afghanistan,0,1,1
Afghanistan,0,1,1
Afghanistan,0,1,1
Afghanistan,0,0,0
Afghanistan,1,1,1
Afghanistan,1,1,1
Afghanistan,1,1,1
Afghanistan,1,1,1
Afghanistan,0,0,0
Afghanistan,0,1,1
Afghanistan,0,1,1
Afghanistan,0,0,0
Afghanistan,1,1,1
Afghanistan,1,1,1
Afghanistan,1,0,0
Afghanistan,1,1,1
Afghanistan,0,1,1
Afghanistan,0,1,1
Afghanistan,0,1,1
Afghanistan,0,0,0
Afghanistan,1,0,-1
Afghanistan,1,1,1
Afghanistan,1,1,1
Afghanistan,1,1,1
Afghanistan,0,1,1
Afghanistan,0,1,1
Afghanistan,0,1,1
Afghanistan,0,0,0
Afghanistan,1,0,0
Afghanistan,1,1,1
Afghanistan,1,1,1
Afghanistan,1,1,1
Afghanistan,0,1,1
Afghanistan,0,1,1
Afghanistan,0,1,1
Afghanistan,0,1,1
Afghanistan,1,1,1
Afghanistan,1,1,1
Afghanistan,1,1,1
Afghanistan,0,0,-1
Afghanistan,0,0,0
Afghanistan,0,0,-1
Afghanistan,0,1,1
Afghanistan,1,1,1
Afghanistan,1,1,1
Afghanistan,1,1,1
Afghanistan,0,1,1
Afghanistan,0,1,1
Afghanistan,0,1,1
Afghanistan,0,0,-1
Afghanistan,1,1,1
Afghanistan,1,1,1
Afghanistan,1,1,1
Afghanistan,1,1,1
Afghanistan,0,1,1
Afghanistan,0,1,1
Afghanistan,0,1,1
Afghanistan,0,1,1
Afghanistan,1,1,1
Afghanistan,1,1,1
Afghanistan,1,1,1
Afghanistan,1,1,1
Afghanistan,0,1,1
Afghanistan,0,1,1
Afghanistan,0,1,1
Afghanistan,0,1,1
Afghanistan,1,0,-1
Afghanistan,1,0,-1
Afghanistan,1,0,0
Afghanistan,1,1,1
Afghanistan,0,0,0
Afghanistan,0,0,0
Afghanistan,0,0,-1
Afghanistan,0,0,-1
Afghanistan,1,1,1
Afghanistan,1,0,0
Afghanistan,1,1,1
Afghanistan,0,1,1
Afghanistan,0,1,1
Afghanistan,1,0,0
Afghanistan,1,1,1
Afghanistan,1,1,1
Afghanistan,0,0,0
Afghanistan,0,0,-1
Afghanistan,0,0,-1
Afghanistan,0,0,0
Afghanistan,1,0,0
Afghanistan,1,1,1
Afghanistan,1,1,1
Afghanistan,1,0,0
Afghanistan,1,1,1
Afghanistan,0,1,1
Afghanistan,0,0,0
Afghanistan,0,1,1
Afghanistan,0,1,1
Afghanistan,0,1,1
Afghanistan,0,0,-1
Afghanistan,0,1,1
Afghanistan,0,0,0
Afghanistan,1,0,0
Afghanistan,1,1,1
Afghanistan,1,1,1
Afghanistan,1,0,0
Afghanistan,1,0,-1
Afghanistan,1,0,0
Afghanistan,1,0,0
Afghanistan,1,1,1
Afghanistan,0,0,0
Afghanistan,0,1,1
Afghanistan,0,1,1
Afghanistan,0,1,1
Afghanistan,1,1,1
Afghanistan,1,1,1
Afghanistan,1,1,1
Afghanistan,0,1,1
Afghanistan,0,0,0
Afghanistan,0,0,0
Afghanistan,1,1,1
Afghanistan,1,1,1
Afghanistan,1,1,1
Afghanistan,1,1,1
Afghanistan,0,1,1
Afghanistan,0,1,1
Afghanistan,0,1,1
Afghanistan,0,1,1
Afghanistan,1,1,1
Afghanistan,1,0,-1
Afghanistan,1,0,0
Afghanistan,1,1,1
Afghanistan,0,1,1
Afghanistan,0,1,1
Afghanistan,0,1,1
Afghanistan,0,0,0
Afghanistan,1,0,0
Afghanistan,1,0,0
Afghanistan,1,1,1
Afghanistan,1,0,0
Afghanistan,0,1,1
Afghanistan,0,0,0
Afghanistan,0,1,1
Afghanistan,0,0,-1
Afghanistan,1,0,0
Afghanistan,1,0,0
Afghanistan,1,0,-1
Afghanistan,1,0,0
Afghanistan,0,0,0
Afghanistan,0,0,0
Afghanistan,0,0,-1
Afghanistan,0,0,0
Afghanistan,1,1,1
Afghanistan,1,1,1
Afghanistan,1,1,1
Afghanistan,1,0,-1
Afghanistan,0,0,0
Afghanistan,0,0,-1
Afghanistan,0,0,0
Afghanistan,0,1,1
Afghanistan,1,0,-1
Afghanistan,1,1,1
Afghanistan,1,0,-1
Afghanistan,1,0,-1
Afghanistan,0,1,1
Afghanistan,0,1,1
Afghanistan,0,0,-1
Afghanistan,0,0,0
Afghanistan,1,0,0
Afghanistan,1,0,-1
Afghanistan,1,1,1
Afghanistan,1,0,0
Afghanistan,0,0,0
Afghanistan,0,1,1
Afghanistan,0,1,1
Afghanistan,0,1,1
Afghanistan,1,0,-1
Afghanistan,1,0,-1
Afghanistan,1,0,-1
Afghanistan,0,1,1
Afghanistan,0,1,1
Afghanistan,0,0,0
Afghanistan,0,0,-1
Afghanistan,0,0,0
Afghanistan,0,1,1
Afghanistan,0,1,1
Afghanistan,1,1,1
Afghanistan,1,1,1
Afghanistan,1,1,1
Afghanistan,1,1,1
Afghanistan,0,1,1
Afghanistan,0,0,-1
Afghanistan,1,1,1
Afghanistan,1,1,1
Afghanistan,0,0,0
Afghanistan,1,1,1
Afghanistan,1,0,0
Afghanistan,0,0,-1
Afghanistan,1,1,1
Afghanistan,0,1,1
Afghanistan,1,0,0
Afghanistan,1,1,1
Afghanistan,1,0,0
Afghanistan,1,0,0
Afghanistan,0,0,0
Afghanistan,0,0,0
Afghanistan,0,0,0
Afghanistan,0,0,0
Afghanistan,1,1,1
Afghanistan,1,1,1
Afghanistan,1,1,1
Afghanistan,0,1,1
Afghanistan,1,0,-1
Afghanistan,0,0,-1
Afghanistan,1,1,1
Afghanistan,0,0,0
Afghanistan,0,0,0
Afghanistan,1,0,0
Afghanistan,1,1,1
Afghanistan,0,0,0
Afghanistan,1,1,1
Afghanistan,1,1,1
Afghanistan,1,1,1
Afghanistan,0,1,1
Afghanistan,0,1,1
Afghanistan,0,1,1
Afghanistan,0,1,1
Afghanistan,1,0,0
Afghanistan,1,0,0
Afghanistan,1,0,0
Afghanistan,1,1,1
Afghanistan,0,1,1
Afghanistan,0,0,0
Afghanistan,0,1,1
Afghanistan,0,1,1
Afghanistan,1,1,1
Afghanistan,1,0,0
Afghanistan,1,1,1
Afghanistan,1,0,-1
Afghanistan,0,1,1
Afghanistan,0,1,1
Afghanistan,0,0,-1
Afghanistan,1,1,1
Afghanistan,1,0,-1
Afghanistan,1,1,1
Afghanistan,1,0,0
Afghanistan,0,0,0
Afghanistan,0,0,0
Afghanistan,0,0,-1
Afghanistan,0,1,1
Afghanistan,1,1,1
Afghanistan,1,1,1
Afghanistan,1,0,0
Afghanistan,1,1,1
Afghanistan,0,0,0
Afghanistan,0,0,-1
Afghanistan,0,1,1
Afghanistan,0,1,1
Afghanistan,1,0,-1
Afghanistan,1,1,1
Afghanistan,1,1,1
Afghanistan,0,0,0
Afghanistan,0,0,0
Afghanistan,0,1,1
Afghanistan,0,0,0
Afghanistan,1,1,1
Afghanistan,1,1,1
Afghanistan,1,1,1
Afghanistan,1,1,1
Afghanistan,0,1,1
Afghanistan,0,1,1
Afghanistan,0,1,1
Afghanistan,0,1,1
Afghanistan,1,0,-1
Afghanistan,1,1,1
Afghanistan,1,0,-1
Afghanistan,1,1,1
Afghanistan,0,1,1
