village,wave,treat,treat_event,vil_wave,treat_cum,district,province,region,dist,elevation,pop,lang,ethnicity,stab,resil,SIKA,Project,idname,stab_std,resil_std,type,first.treat,nsp,ln_dist,ln_elevation,ln_pop
AG1-007,1,0,0,AG1-007 1,0,Arghandab (1),Kandahar,RC-South,4886.665344,1025.182007,1203,Pashto,Pashtun,3.18333333333333,3.09259259259259,3,3,1,-0.5938478057651576,-1.285937314870747,Wave 5 treated,5,1,8.494470033695825,6.93262544361409,7.0925737159746784
AG1-007,2,0,0,AG1-007 2,0,Arghandab (1),Kandahar,RC-South,4886.665344,1025.182007,1203,Pashto,Pashtun,3.95833333333333,3.53240740740741,3,3,1,1.0417488205590177,-0.29019079581950863,Wave 5 treated,5,1,8.494470033695825,6.93262544361409,7.0925737159746784
AG1-007,3,0,0,AG1-007 3,0,Arghandab (1),Kandahar,RC-South,4886.665344,1025.182007,1203,Pashto,Pashtun,3.37916666666667,3.05833333333333,3,3,1,-0.1805518840595724,-1.363500727933686,Wave 5 treated,5,1,8.494470033695825,6.93262544361409,7.0925737159746784
AG1-007,4,0,0,AG1-007 4,0,Arghandab (1),Kandahar,RC-South,4886.665344,1025.182007,1203,Pashto,Pashtun,3.04375,3.1625,3,3,1,-0.8884310691084829,-1.1276660260531246,Wave 5 treated,5,1,8.494470033695825,6.93262544361409,7.0925737159746784
AG1-007,5,1,1,AG1-007 5,1,Arghandab (1),Kandahar,RC-South,4886.665344,1025.182007,1203,Pashto,Pashtun,3.68333333333333,4.08854166666667,3,3,1,0.4613758241214072,0.9689044736650029,Wave 5 treated,5,1,8.494470033695825,6.93262544361409,7.0925737159746784
AG1-008,1,0,0,AG1-008 1,0,Arghandab (1),Kandahar,RC-South,5001.690757,1018.794983,314,Pashto,Pashtun,3.50666666666667,3.36111111111111,3,3,2,0.08853014156150152,-0.6780078611342056,Wave 4 treated,4,1,8.517731198064702,6.926375818672289,5.749392985908253
AG1-008,2,0,0,AG1-008 2,0,Arghandab (1),Kandahar,RC-South,5001.690757,1018.794983,314,Pashto,Pashtun,3.61111111111111,3.76923076923077,3,3,2,0.3089546331377966,0.24598040674653196,Wave 4 treated,4,1,8.517731198064702,6.926375818672289,5.749392985908253
AG1-008,3,0,0,AG1-008 3,0,Arghandab (1),Kandahar,RC-South,5001.690757,1018.794983,314,Pashto,Pashtun,4.22307692307692,3.89166666666667,3,3,2,1.6004762040758782,0.5231768871107578,Wave 4 treated,4,1,8.517731198064702,6.926375818672289,5.749392985908253
AG1-008,4,1,1,AG1-008 4,1,Arghandab (1),Kandahar,RC-South,5001.690757,1018.794983,314,Pashto,Pashtun,3.42444444444444,3.475,3,3,2,-0.08499552201986058,-0.42016192041146405,Wave 4 treated,4,1,8.517731198064702,6.926375818672289,5.749392985908253
AG1-008,5,1,1,AG1-008 5,2,Arghandab (1),Kandahar,RC-South,5001.690757,1018.794983,314,Pashto,Pashtun,3.20714285714286,3.6875,3,3,2,-0.5435990614848321,0.060940871424865,Wave 4 treated,4,1,8.517731198064702,6.926375818672289,5.749392985908253
AG1-020,1,0,0,AG1-020 1,0,Arghandab (1),Kandahar,RC-South,4714.323562,1017.817993,280,Pashto,Pashtun,3.5375,3.78333333333333,3,3,3,0.15360226540449964,0.27790879715496697,Wave 4 treated,4,2,8.458572816679107,6.925416392324273,5.634789603169249
AG1-020,2,0,0,AG1-020 2,0,Arghandab (1),Kandahar,RC-South,4714.323562,1017.817993,280,Pashto,Pashtun,3.63333333333333,3.62239583333333,3,3,3,0.35585346113275107,-0.08645581725048868,Wave 4 treated,4,2,8.458572816679107,6.925416392324273,5.634789603169249
AG1-020,3,0,0,AG1-020 3,0,Arghandab (1),Kandahar,RC-South,4714.323562,1017.817993,280,Pashto,Pashtun,3.27435897435898,3.525,3,3,3,-0.40174299109348194,-0.3069612635087987,Wave 4 treated,4,2,8.458572816679107,6.925416392324273,5.634789603169249
AG1-020,4,1,1,AG1-020 4,1,Arghandab (1),Kandahar,RC-South,4714.323562,1017.817993,280,Pashto,Pashtun,3.475,3.24444444444444,3,3,3,0.021699311668679045,-0.9421427272404328,Wave 4 treated,4,2,8.458572816679107,6.925416392324273,5.634789603169249
AG1-020,5,0,1,AG1-020 5,1,Arghandab (1),Kandahar,RC-South,4714.323562,1017.817993,280,Pashto,Pashtun,3.2875,3.29761904761905,3,3,3,-0.37400954953878274,-0.8217547270423441,Wave 4 treated,4,2,8.458572816679107,6.925416392324273,5.634789603169249
AG1-031,1,0,0,AG1-031 1,0,Arghandab (1),Kandahar,RC-South,6487.119626,1018.710022,878,Pashto,Pashtun,3.84285714285714,3.90277777777778,3,3,4,0.7980424107995023,0.5483325886446805,Never treated,0,2,8.777728033664728,6.926292421576488,6.777646593635117
AG1-031,2,0,0,AG1-031 2,0,Arghandab (1),Kandahar,RC-South,6487.119626,1018.710022,878,Pashto,Pashtun,3.18181818181818,3.125,3,3,4,-0.5970454531284474,-1.2125665187301242,Never treated,0,2,8.777728033664728,6.926292421576488,6.777646593635117
AG1-031,3,0,0,AG1-031 3,0,Arghandab (1),Kandahar,RC-South,6487.119626,1018.710022,878,Pashto,Pashtun,3.95416666666667,3.9212962962963,3,3,4,1.0329552903099775,0.5902587578678932,Never treated,0,2,8.777728033664728,6.926292421576488,6.777646593635117
AG1-031,4,0,0,AG1-031 4,0,Arghandab (1),Kandahar,RC-South,6487.119626,1018.710022,878,Pashto,Pashtun,3.425,3.80952380952381,3,3,4,-0.083823051319978,0.3372043793420864,Never treated,0,2,8.777728033664728,6.926292421576488,6.777646593635117
AG1-031,5,0,0,AG1-031 5,0,Arghandab (1),Kandahar,RC-South,6487.119626,1018.710022,878,Pashto,Pashtun,3.27857142857143,3.25694444444445,3,3,4,-0.3928528286438976,-0.9138425630147439,Never treated,0,2,8.777728033664728,6.926292421576488,6.777646593635117
AG1-032,1,0,0,AG1-032 1,0,Arghandab (1),Kandahar,RC-South,5281.596854,1015.909973,906,Pashto,Pashtun,3.33333333333333,3.44166666666667,3,3,5,-0.27728071679918836,-0.49562902501323386,Wave 5 treated,5,1,8.572173084201449,6.923540014960427,6.80903930604298
AG1-032,2,0,0,AG1-032 2,0,Arghandab (1),Kandahar,RC-South,5281.596854,1015.909973,906,Pashto,Pashtun,3.27555555555556,3.125,3,3,5,-0.39921766958606375,-1.2125665187301242,Wave 5 treated,5,1,8.572173084201449,6.923540014960427,6.80903930604298
AG1-032,3,0,0,AG1-032 3,0,Arghandab (1),Kandahar,RC-South,5281.596854,1015.909973,906,Pashto,Pashtun,3.56875,3.69583333333333,3,3,5,0.21955374227240995,0.07980764757530218,Wave 5 treated,5,1,8.572173084201449,6.923540014960427,6.80903930604298
AG1-032,4,0,0,AG1-032 4,0,Arghandab (1),Kandahar,RC-South,5281.596854,1015.909973,906,Pashto,Pashtun,3.66875,3.46590909090909,3,3,5,0.4305984682497231,-0.44074385803013294,Wave 5 treated,5,1,8.572173084201449,6.923540014960427,6.80903930604298
AG1-032,5,1,1,AG1-032 5,1,Arghandab (1),Kandahar,RC-South,5281.596854,1015.909973,906,Pashto,Pashtun,3.4625,3.27083333333333,3,3,5,-0.00468127907848545,-0.882397936097357,Wave 5 treated,5,1,8.572173084201449,6.923540014960427,6.80903930604298
AG1-035,1,0,0,AG1-035 1,0,Arghandab (1),Kandahar,RC-South,4809.408709,993.033691,2927,Pashto,Pashtun,3.68958333333333,3.61458333333333,3,3,6,0.47456611949498945,-0.10414341989153018,Never treated,0,1,8.478537330176072,6.900764591969111,7.9817332866918855
AG1-035,2,0,0,AG1-035 2,0,Arghandab (1),Kandahar,RC-South,4809.408709,993.033691,2927,Pashto,Pashtun,3.43541666666667,3.0787037037037,3,3,6,-0.06183922569733405,-1.317381941788156,Never treated,0,1,8.478537330176072,6.900764591969111,7.9817332866918855
AG1-035,3,0,0,AG1-035 3,0,Arghandab (1),Kandahar,RC-South,4809.408709,993.033691,2927,Pashto,Pashtun,3.40444444444444,3.71875,3,3,6,-0.12720446721532322,0.13169128198903107,Never treated,0,1,8.478537330176072,6.900764591969111,7.9817332866918855
AG1-035,4,0,0,AG1-035 4,0,Arghandab (1),Kandahar,RC-South,4809.408709,993.033691,2927,Pashto,Pashtun,4.11777777777778,4.22727272727273,3,3,6,1.3782479114228567,1.2829934175331945,Never treated,0,1,8.478537330176072,6.900764591969111,7.9817332866918855
AG1-035,5,0,0,AG1-035 5,0,Arghandab (1),Kandahar,RC-South,4809.408709,993.033691,2927,Pashto,Pashtun,2.65641025641026,3.28472222222222,3,3,6,-1.705891169568677,-0.8509533091799468,Never treated,0,1,8.478537330176072,6.900764591969111,7.9817332866918855
AG1-036,1,0,0,AG1-036 1,0,Arghandab (1),Kandahar,RC-South,2535.913221,998.630981,336,Pashto,Pashtun,3.43571428571429,3.19907407407407,3,3,7,-0.06121111639382803,-1.0448618418372955,Wave 3 treated,3,2,7.838703353653603,6.906385322019469,5.817111159963204
AG1-036,2,0,0,AG1-036 2,0,Arghandab (1),Kandahar,RC-South,2535.913221,998.630981,336,Pashto,Pashtun,3.66428571428571,3.41666666666667,3,3,7,0.4211768286971554,-0.5522293534645665,Wave 3 treated,3,2,7.838703353653603,6.906385322019469,5.817111159963204
AG1-036,3,1,1,AG1-036 3,1,Arghandab (1),Kandahar,RC-South,2535.913221,998.630981,336,Pashto,Pashtun,3.43541666666667,3.3,3,3,7,-0.06183922569733405,-0.8163642195707946,Wave 3 treated,3,2,7.838703353653603,6.906385322019469,5.817111159963204
AG1-036,4,1,1,AG1-036 4,2,Arghandab (1),Kandahar,RC-South,2535.913221,998.630981,336,Pashto,Pashtun,3.05,3,3,3,7,-0.8752407737349016,-1.4955681609867884,Wave 3 treated,3,2,7.838703353653603,6.906385322019469,5.817111159963204
AG1-036,5,0,1,AG1-036 5,2,Arghandab (1),Kandahar,RC-South,2535.913221,998.630981,336,Pashto,Pashtun,3.88125,3.65416666666667,3,3,7,0.879068510951513,-0.014526233176904829,Wave 3 treated,3,2,7.838703353653603,6.906385322019469,5.817111159963204
AG1-047,1,0,0,AG1-047 1,0,Arghandab (1),Kandahar,RC-South,7666.379386,990.965515,1313,Pashto,Pashtun,3.63333333333333,3.51515151515152,3,3,8,0.35585346113275107,-0.3292583625956762,Wave 4 treated,4,2,8.944730165313652,6.898679735540864,7.180069874302796
AG1-047,2,0,0,AG1-047 2,0,Arghandab (1),Kandahar,RC-South,7666.379386,990.965515,1313,Pashto,Pashtun,3.875,4.17592592592593,3,3,8,0.8658782155779307,1.1667435846870253,Wave 4 treated,4,2,8.944730165313652,6.898679735540864,7.180069874302796
AG1-047,3,0,0,AG1-047 3,0,Arghandab (1),Kandahar,RC-South,7666.379386,990.965515,1313,Pashto,Pashtun,3.29555555555556,3.61666666666667,3,3,8,-0.3570087243906011,-0.0994267258539043,Wave 4 treated,4,2,8.944730165313652,6.898679735540864,7.180069874302796
AG1-047,4,1,1,AG1-047 4,1,Arghandab (1),Kandahar,RC-South,7666.379386,990.965515,1313,Pashto,Pashtun,3.87916666666667,4.05208333333333,3,3,8,0.8746717458269924,0.8863623280067957,Wave 4 treated,4,2,8.944730165313652,6.898679735540864,7.180069874302796
AG1-047,5,1,1,AG1-047 5,2,Arghandab (1),Kandahar,RC-South,7666.379386,990.965515,1313,Pashto,Pashtun,4.09375,3.74679487179487,3,3,8,1.3275385536533029,0.19518524018763764,Wave 4 treated,4,2,8.944730165313652,6.898679735540864,7.180069874302796
AG1-061,1,0,0,AG1-061 1,0,Arghandab (1),Kandahar,RC-South,10480.042372,1031.363037,1128,Pashto,Pashtun,3.79375,3.40530303030303,3,3,9,0.6944043757213643,-0.5779567754879084,Never treated,0,2,9.257323415906018,6.938636543278338,7.028201432058005
AG1-061,2,0,0,AG1-061 2,0,Arghandab (1),Kandahar,RC-South,10480.042372,1031.363037,1128,Pashto,Pashtun,3.85757575757576,3.875,3,3,9,0.8291052709000709,0.4854433348098614,Never treated,0,2,9.257323415906018,6.938636543278338,7.028201432058005
AG1-061,3,0,0,AG1-061 3,0,Arghandab (1),Kandahar,RC-South,10480.042372,1031.363037,1128,Pashto,Pashtun,3.62666666666667,3.54166666666667,3,3,9,0.34178381273427727,-0.26922771120790223,Never treated,0,2,9.257323415906018,6.938636543278338,7.028201432058005
AG1-061,4,0,0,AG1-061 4,0,Arghandab (1),Kandahar,RC-South,10480.042372,1031.363037,1128,Pashto,Pashtun,3.11041666666667,3.17592592592593,3,3,9,-0.7477345851236006,-1.0972695533662886,Never treated,0,2,9.257323415906018,6.938636543278338,7.028201432058005
AG1-061,5,0,0,AG1-061 5,0,Arghandab (1),Kandahar,RC-South,10480.042372,1031.363037,1128,Pashto,Pashtun,3.84888888888889,3.91203703703704,3,3,9,0.8107720926838572,0.5692956732562868,Never treated,0,2,9.257323415906018,6.938636543278338,7.028201432058005
AG1-062,1,0,0,AG1-062 1,0,Arghandab (1),Kandahar,RC-South,2809.712842,1005.244995,643,Pashto,Pashtun,3.875,3.33333333333333,3,3,10,0.8658782155779307,-0.7408971149690248,Wave 4 treated,4,1,7.941193410583399,6.912986566904009,6.466144724237619
AG1-062,2,0,0,AG1-062 2,0,Arghandab (1),Kandahar,RC-South,2809.712842,1005.244995,643,Pashto,Pashtun,3.65,3.82407407407407,3,3,10,0.39102758212897637,0.3701463694460259,Wave 4 treated,4,1,7.941193410583399,6.912986566904009,6.466144724237619
AG1-062,3,0,0,AG1-062 3,0,Arghandab (1),Kandahar,RC-South,2809.712842,1005.244995,643,Pashto,Pashtun,3.48958333333333,3.97916666666667,3,3,10,0.05247666754036315,0.7212780366904227,Wave 4 treated,4,1,7.941193410583399,6.912986566904009,6.466144724237619
AG1-062,4,1,1,AG1-062 4,1,Arghandab (1),Kandahar,RC-South,2809.712842,1005.244995,643,Pashto,Pashtun,3.36222222222222,3.33854166666667,3,3,10,-0.21631224040574035,-0.7291053798749817,Wave 4 treated,4,1,7.941193410583399,6.912986566904009,6.466144724237619
AG1-062,5,1,1,AG1-062 5,2,Arghandab (1),Kandahar,RC-South,2809.712842,1005.244995,643,Pashto,Pashtun,3.05151515151515,3.84722222222222,3,3,10,-0.8720431263716119,0.4225540809750423,Wave 4 treated,4,1,7.941193410583399,6.912986566904009,6.466144724237619
AG1-074,1,0,0,AG1-074 1,0,Arghandab (1),Kandahar,RC-South,1078.352848,1018.346985,603,Pashto,Pashtun,3.48958333333333,3.8030303030303,3,3,11,0.05247666754036315,0.32250299532874505,Wave 4 treated,4,0,6.984116925702503,6.925935988739708,6.401917196727186
AG1-074,2,0,0,AG1-074 2,0,Arghandab (1),Kandahar,RC-South,1078.352848,1018.346985,603,Pashto,Pashtun,3.27708333333333,3.45833333333333,3,3,11,-0.3959933751614267,-0.45789547271236053,Wave 4 treated,4,0,6.984116925702503,6.925935988739708,6.401917196727186
AG1-074,3,0,0,AG1-074 3,0,Arghandab (1),Kandahar,RC-South,1078.352848,1018.346985,603,Pashto,Pashtun,3.55208333333333,3.98958333333333,3,3,11,0.18437962127618374,0.7448615068784625,Wave 4 treated,4,0,6.984116925702503,6.925935988739708,6.401917196727186
AG1-074,4,1,1,AG1-074 4,1,Arghandab (1),Kandahar,RC-South,1078.352848,1018.346985,603,Pashto,Pashtun,3.39333333333333,3.36904761904762,3,3,11,-0.15065388121280046,-0.6600395028956824,Wave 4 treated,4,0,6.984116925702503,6.925935988739708,6.401917196727186
AG1-074,5,0,1,AG1-074 5,1,Arghandab (1),Kandahar,RC-South,1078.352848,1018.346985,603,Pashto,Pashtun,3.24242424242424,3.89166666666667,3,3,11,-0.46913955859674356,0.5231768871107578,Wave 4 treated,4,0,6.984116925702503,6.925935988739708,6.401917196727186
ALI-010,1,0,0,ALI-010 1,0,Aliabad,Kunduz,RC-North,13171.584772,400.792206,540,Dari,Pashtun,2.71515151515151,3.06944444444445,2,2,12,-1.5819208410225813,-1.3383450263997403,Never treated,0,0,9.485893037591296,5.993443103473792,6.29156913955832
ALI-010,2,0,0,ALI-010 2,0,Aliabad,Kunduz,RC-North,13171.584772,400.792206,540,Dari,Pashtun,3.60833333333333,3.97727272727273,2,2,12,0.3030922796384221,0.716990133019866,Never treated,0,0,9.485893037591296,5.993443103473792,6.29156913955832
ALI-010,3,0,0,ALI-010 3,0,Aliabad,Kunduz,RC-North,13171.584772,400.792206,540,Dari,Pashtun,3.26666666666667,4.16666666666667,2,2,12,-0.4179772007840491,1.145780500075418,Never treated,0,0,9.485893037591296,5.993443103473792,6.29156913955832
ALI-010,4,0,0,ALI-010 4,0,Aliabad,Kunduz,RC-North,13171.584772,400.792206,540,Dari,Pashtun,3.91666666666667,4.0625,2,2,12,0.9538135180684849,0.9099457981948578,Never treated,0,0,9.485893037591296,5.993443103473792,6.29156913955832
ALI-010,5,0,0,ALI-010 5,0,Aliabad,Kunduz,RC-North,13171.584772,400.792206,540,Dari,Pashtun,2.82666666666667,3.5,2,2,12,-1.346573995084226,-0.3635615919601314,Never treated,0,0,9.485893037591296,5.993443103473792,6.29156913955832
ALI-011,1,0,0,ALI-011 1,0,Aliabad,Kunduz,RC-North,13206.106114,433.147491,443,Dari,Pashtun,4.21875,4.484375,2,2,13,1.591344461124944,1.8650763408110997,Never treated,0,0,9.488510305690106,6.071078295868721,6.093569770045136
ALI-011,2,0,0,ALI-011 2,0,Aliabad,Kunduz,RC-North,13206.106114,433.147491,443,Dari,Pashtun,3.64666666666667,4.07291666666667,2,2,13,0.3839927579297399,0.9335292683829198,Never treated,0,0,9.488510305690106,6.071078295868721,6.093569770045136
ALI-011,3,0,0,ALI-011 3,0,Aliabad,Kunduz,RC-North,13206.106114,433.147491,443,Dari,Pashtun,3.22916666666667,3.625,2,2,13,-0.49711897302554164,-0.08055994970346712,Never treated,0,0,9.488510305690106,6.071078295868721,6.093569770045136
