village,wave,treat,vil_wave,treat2,treat3,SI2,district,province,region,dist,elevation,pop,lang,ethnicity,RI2,SIKA,Project,stability,resilience,type,first.treat,idname
AG1-007,1,0,AG1-007 1,0,0,3.18333333333333,Arghandab (1),Kandahar,RC-South,4886.665344,1025.182007,1203,Pashto,Pashtun,3.09259259259259,3,3,-0.5940029834865469,-1.2834523240343787,Wave 5 treated,5,1
AG1-007,2,0,AG1-007 2,0,0,3.95833333333333,Arghandab (1),Kandahar,RC-South,4886.665344,1025.182007,1203,Pashto,Pashtun,3.53240740740741,3,3,1.0403384456050329,-0.28917319112940215,Wave 5 treated,5,1
AG1-007,3,0,AG1-007 3,0,0,3.37916666666667,Arghandab (1),Kandahar,RC-South,4886.665344,1025.182007,1203,Pashto,Pashtun,3.05833333333333,3,3,-0.1810242352752197,-1.3609014354396087,Wave 5 treated,5,1
AG1-007,4,0,AG1-007 4,0,0,3.04375,Arghandab (1),Kandahar,RC-South,4886.665344,1025.182007,1203,Pashto,Pashtun,3.1625,3,3,-0.8883601763605606,-1.1254142723831622,Wave 5 treated,5,1
AG1-007,5,1,AG1-007 5,1,1,3.68333333333333,Arghandab (1),Kandahar,RC-South,4886.665344,1025.182007,1203,Pashto,Pashtun,4.08854166666667,3,3,0.46041084173382724,0.9680666071885861,Wave 5 treated,5,1
AG1-008,1,0,AG1-008 1,0,0,3.50666666666667,Arghandab (1),Kandahar,RC-South,5001.690757,1018.794983,314,Pashto,Pashtun,3.36111111111111,3,3,0.08785129015597558,-0.6764187481555551,Wave 4 treated,4,2
AG1-008,2,0,AG1-008 2,0,0,3.61111111111111,Arghandab (1),Kandahar,RC-South,5001.690757,1018.794983,314,Pashto,Pashtun,3.76923076923077,3,3,0.30810662253533305,0.2462078804348051,Wave 4 treated,4,2
AG1-008,3,0,AG1-008 3,0,0,4.22307692307692,Arghandab (1),Kandahar,RC-South,5001.690757,1018.794983,314,Pashto,Pashtun,3.89166666666667,3,3,1.5986370479332566,0.5229958690119177,Wave 4 treated,4,2
AG1-008,4,1,AG1-008 4,1,1,3.42444444444444,Arghandab (1),Kandahar,RC-South,5001.690757,1018.794983,314,Pashto,Pashtun,3.475,3,3,-0.08554120554694626,-0.4189527832138455,Wave 4 treated,4,2
AG1-008,5,1,AG1-008 5,1,2,3.20714285714286,Arghandab (1),Kandahar,RC-South,5001.690757,1018.794983,314,Pashto,Pashtun,3.6875,3,3,-0.5437928013331829,0.06144102942128966,Wave 4 treated,4,2
AG1-020,1,0,AG1-020 1,0,0,3.5375,Arghandab (1),Kandahar,RC-South,4714.323562,1017.817993,280,Pashto,Pashtun,3.78333333333333,3,3,0.15287347604455864,0.27808921943320614,Wave 5 treated,5,3
AG1-020,2,0,AG1-020 2,0,0,3.63333333333333,Arghandab (1),Kandahar,RC-South,4714.323562,1017.817993,280,Pashto,Pashtun,3.62239583333333,3,3,0.35496945921179024,-0.08573844748899236,Wave 5 treated,5,3
AG1-020,3,0,AG1-020 3,0,0,3.27435897435898,Arghandab (1),Kandahar,RC-South,4714.323562,1017.817993,280,Pashto,Pashtun,3.525,3,3,-0.4020455947925624,-0.3059189449467552,Wave 5 treated,5,3
AG1-020,4,1,AG1-020 4,1,1,3.475,Arghandab (1),Kandahar,RC-South,4714.323562,1017.817993,280,Pashto,Pashtun,3.24444444444444,3,3,0.021071747892011862,-0.9401643707787738,Wave 5 treated,5,3
AG1-020,5,0,AG1-020 5,0,1,3.2875,Arghandab (1),Kandahar,RC-South,4714.323562,1017.817993,280,Pashto,Pashtun,3.29761904761905,3,3,-0.37433343656562845,-0.8199537808756617,Wave 5 treated,5,3
AG1-031,1,0,AG1-031 1,0,0,3.84285714285714,Arghandab (1),Kandahar,RC-South,6487.119626,1018.710022,878,Pashto,Pashtun,3.90277777777778,3,3,0.7968190621612806,0.5481144997379348,Never treated,0,4
AG1-031,2,0,AG1-031 2,0,0,3.18181818181818,Arghandab (1),Kandahar,RC-South,6487.119626,1018.710022,878,Pashto,Pashtun,3.125,3,3,-0.5971981768963027,-1.2101896510834804,Never treated,0,4
AG1-031,3,0,AG1-031 3,0,0,3.95416666666667,Arghandab (1),Kandahar,RC-South,6487.119626,1018.710022,878,Pashto,Pashtun,3.9212962962963,3,3,1.031551663728211,0.589978884281305,Never treated,0,4
AG1-031,4,0,AG1-031 4,0,0,3.425,Arghandab (1),Kandahar,RC-South,6487.119626,1018.710022,878,Pashto,Pashtun,3.80952380952381,3,3,-0.08436963463002611,0.33729742043026245,Never treated,0,4
AG1-031,5,0,AG1-031 5,0,0,3.27857142857143,Arghandab (1),Kandahar,RC-South,6487.119626,1018.710022,878,Pashto,Pashtun,3.25694444444445,3,3,-0.3931622548731327,-0.9119059112119786,Never treated,0,4
AG1-032,1,0,AG1-032 1,0,0,3.33333333333333,Arghandab (1),Kandahar,RC-South,5281.596854,1015.909973,906,Pashto,Pashtun,3.44166666666667,3,3,-0.27767883592043485,-0.49430867539189866,Wave 5 treated,5,5
AG1-032,2,0,AG1-032 2,0,0,3.27555555555556,Arghandab (1),Kandahar,RC-South,5281.596854,1015.909973,906,Pashto,Pashtun,3.125,3,3,-0.3995222112792171,-1.2101896510834804,Wave 5 treated,5,5
AG1-032,3,0,AG1-032 3,0,0,3.56875,Arghandab (1),Kandahar,RC-South,5281.596854,1015.909973,906,Pashto,Pashtun,3.69583333333333,3,3,0.21877434012083202,0.08028000246579768,Wave 5 treated,5,5
AG1-032,4,0,AG1-032 4,0,0,3.66875,Arghandab (1),Kandahar,RC-South,5281.596854,1015.909973,906,Pashto,Pashtun,3.46590909090909,3,3,0.429657105164907,-0.4395043901715007,Wave 5 treated,5,5
AG1-032,5,1,AG1-032 5,1,1,3.4625,Arghandab (1),Kandahar,RC-South,5281.596854,1015.909973,906,Pashto,Pashtun,3.27083333333333,3,3,-0.005288597738497869,-0.8805076228044736,Wave 5 treated,5,5
AG1-035,1,0,AG1-035 1,0,0,3.68958333333333,Arghandab (1),Kandahar,RC-South,4809.408709,993.033691,2927,Pashto,Pashtun,3.61458333333333,3,3,0.47359101454908215,-0.10339998471822527,Never treated,0,6
AG1-035,2,0,AG1-035 2,0,0,3.43541666666667,Arghandab (1),Kandahar,RC-South,4809.408709,993.033691,2927,Pashto,Pashtun,3.0787037037037,3,3,-0.062402679937927814,-1.3148506124419057,Never treated,0,6
AG1-035,3,0,AG1-035 3,0,0,3.40444444444444,Arghandab (1),Kandahar,RC-South,4809.408709,993.033691,2927,Pashto,Pashtun,3.71875,3,3,-0.12771775855576126,0.13208717833822134,Never treated,0,6
AG1-035,4,0,AG1-035 4,0,0,4.11777777777778,Arghandab (1),Kandahar,RC-South,4809.408709,993.033691,2927,Pashto,Pashtun,4.22727272727273,3,3,1.3765792987586534,1.281692692531934,Never treated,0,6
AG1-035,5,0,AG1-035 5,0,0,2.65641025641026,Arghandab (1),Kandahar,RC-South,4809.408709,993.033691,2927,Pashto,Pashtun,3.28472222222222,3,3,-1.7051929377572348,-0.8491093343969456,Never treated,0,6
AG1-036,1,0,AG1-036 1,0,0,3.43571428571429,Arghandab (1),Kandahar,RC-South,2535.913221,998.630981,336,Pashto,Pashtun,3.19907407407407,3,3,-0.061775052661008814,-1.042732112910022,Wave 4 treated,4,7
