village,wave,treat,treat_event,treat_cum,district,province,region,dist,elevation,pop,lang,ethnicity,stab,SIKA,Project,idname,stab_std,vil_wave,measured,treated,cohort,first.treat
ADD-002,2,0,0,0,Ahmadabad,Paktiya,RC-East,5787.35105,2415.281982,900,Pashto,Pashtun,2.97916666666667,1,1,31,-1.024730787968824,ADD-002 2,"NA 2 3 4 5","NA 0 0 0 0",Never treated,0
ADD-002,3,0,0,0,Ahmadabad,Paktiya,RC-East,5787.35105,2415.281982,900,Pashto,Pashtun,3.93333333333333,1,1,31,0.9889876390646896,ADD-002 3,"NA 2 3 4 5","NA 0 0 0 0",Never treated,0
ADD-002,4,0,0,0,Ahmadabad,Paktiya,RC-East,5787.35105,2415.281982,900,Pashto,Pashtun,3.08666666666667,1,1,31,-0.7978577075432127,ADD-002 4,"NA 2 3 4 5","NA 0 0 0 0",Never treated,0
ADD-002,5,0,0,0,Ahmadabad,Paktiya,RC-East,5787.35105,2415.281982,900,Pashto,Pashtun,3.74444444444444,1,1,31,0.5903476011075406,ADD-002 5,"NA 2 3 4 5","NA 0 0 0 0",Never treated,0
ADD-003,2,0,0,0,Ahmadabad,Paktiya,RC-East,18163.341843,2561.556885,2327,Pashto,Pashtun,3.73611111111111,1,1,32,0.5727605406094378,ADD-003 2,"NA 2 3 4 5","NA 0 0 0 0",Never treated,0
ADD-003,3,0,0,0,Ahmadabad,Paktiya,RC-East,18163.341843,2561.556885,2327,Pashto,Pashtun,3.77179487179487,1,1,32,0.6480692355628794,ADD-003 3,"NA 2 3 4 5","NA 0 0 0 0",Never treated,0
ADD-003,4,0,0,0,Ahmadabad,Paktiya,RC-East,18163.341843,2561.556885,2327,Pashto,Pashtun,2.87222222222222,1,1,32,-1.2504313976945733,ADD-003 4,"NA 2 3 4 5","NA 0 0 0 0",Never treated,0
ADD-003,5,0,0,0,Ahmadabad,Paktiya,RC-East,18163.341843,2561.556885,2327,Pashto,Pashtun,4.04166666666667,1,1,32,1.2176194255401251,ADD-003 5,"NA 2 3 4 5","NA 0 0 0 0",Never treated,0
ADD-006,2,0,0,0,Ahmadabad,Paktiya,RC-East,19430.604328,2760.329102,46,Pashto,Sparsley Populated,3.07916666666667,1,1,33,-0.813686061991511,ADD-006 2,"NA 2 3 4 5","NA 0 0 0 0",Never treated,0
ADD-006,3,0,0,0,Ahmadabad,Paktiya,RC-East,19430.604328,2760.329102,46,Pashto,Sparsley Populated,3.35777777777778,1,1,33,-0.22569200600472225,ADD-006 3,"NA 2 3 4 5","NA 0 0 0 0",Never treated,0
ADD-006,4,0,0,0,Ahmadabad,Paktiya,RC-East,19430.604328,2760.329102,46,Pashto,Sparsley Populated,3.2,1,1,33,-0.5586736847689314,ADD-006 4,"NA 2 3 4 5","NA 0 0 0 0",Never treated,0
ADD-006,5,0,0,0,Ahmadabad,Paktiya,RC-East,19430.604328,2760.329102,46,Pashto,Sparsley Populated,3.3025641025641,1,1,33,-0.3422175555614364,ADD-006 5,"NA 2 3 4 5","NA 0 0 0 0",Never treated,0
ADD-013,2,0,0,0,Ahmadabad,Paktiya,RC-East,2360.670813,2386.736084,721,Pashto,Pashtun,3.51666666666667,1,1,35,0.1096346141592333,ADD-013 2,"NA 2 3 4 5","NA 0 0 0 1",Wave 5 treated,5
ADD-013,3,0,0,0,Ahmadabad,Paktiya,RC-East,2360.670813,2386.736084,721,Pashto,Pashtun,2.73055555555556,1,1,35,-1.5494114261624192,ADD-013 3,"NA 2 3 4 5","NA 0 0 0 1",Wave 5 treated,5
ADD-013,4,0,0,0,Ahmadabad,Paktiya,RC-East,2360.670813,2386.736084,721,Pashto,Pashtun,3.04888888888889,1,1,35,-0.8775857151346471,ADD-013 4,"NA 2 3 4 5","NA 0 0 0 1",Wave 5 treated,5
ADD-013,5,1,1,1,Ahmadabad,Paktiya,RC-East,2360.670813,2386.736084,721,Pashto,Pashtun,3.36666666666667,1,1,35,-0.2069324748067369,ADD-013 5,"NA 2 3 4 5","NA 0 0 0 1",Wave 5 treated,5
ADD-019,2,0,0,0,Ahmadabad,Paktiya,RC-East,4256.373811,2416.396973,1157,Pashto,Pashtun,3.04444444444444,1,1,38,-0.8869654807336506,ADD-019 2,"NA 2 3 4 5","NA 0 0 0 0",Never treated,0
ADD-019,3,0,0,0,Ahmadabad,Paktiya,RC-East,4256.373811,2416.396973,1157,Pashto,Pashtun,3.8,1,1,38,0.7075946710949456,ADD-019 3,"NA 2 3 4 5","NA 0 0 0 0",Never treated,0
ADD-019,4,0,0,0,Ahmadabad,Paktiya,RC-East,4256.373811,2416.396973,1157,Pashto,Pashtun,4.04848484848485,1,1,38,1.2320088386749384,ADD-019 4,"NA 2 3 4 5","NA 0 0 0 0",Never treated,0
ADD-019,5,0,0,0,Ahmadabad,Paktiya,RC-East,4256.373811,2416.396973,1157,Pashto,Pashtun,3.53333333333333,1,1,38,0.14480873515543793,ADD-019 5,"NA 2 3 4 5","NA 0 0 0 0",Never treated,0
ADD-024,2,0,0,0,Ahmadabad,Paktiya,RC-East,0,2373.322998,2428,Pashto,Pashtun,3.36388888888889,1,1,40,-0.21279482830611135,ADD-024 2,"NA 2 3 4 5","NA 0 0 0 1",Wave 5 treated,5
ADD-024,3,0,0,0,Ahmadabad,Paktiya,RC-East,0,2373.322998,2428,Pashto,Pashtun,3.29393939393939,1,1,40,-0.3604195482447977,ADD-024 3,"NA 2 3 4 5","NA 0 0 0 1",Wave 5 treated,5
ADD-024,4,0,0,0,Ahmadabad,Paktiya,RC-East,0,2373.322998,2428,Pashto,Pashtun,3.33,1,1,40,-0.28431554099842477,ADD-024 4,"NA 2 3 4 5","NA 0 0 0 1",Wave 5 treated,5
ADD-024,5,1,1,1,Ahmadabad,Paktiya,RC-East,0,2373.322998,2428,Pashto,Pashtun,3.69761904761905,1,1,40,0.4915250706896068,ADD-024 5,"NA 2 3 4 5","NA 0 0 0 1",Wave 5 treated,5
