code,name,type,class,subclass,region,ID_unit,province,municipality,barangay,selected,overselected
DOH000000000031729,AMITO MARANTAO RURAL HEALTH UNIT,Rural Health Unit,Government,National Government,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),1,LANAO DEL SUR,CITY OF MARAWI (CAPITAL),AMITO MARANTAO,0,0
DOH000000000002986,AMPATUAN RURAL HEALTH UNIT,Rural Health Unit,Government,National Government,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),2,MAGUINDANAO DEL SUR,AMPATUAN,DICALONGAN (POB.),0,0
DOH000000000007312,BACOLOD-KALAWI RURAL HEALTH UNIT,Rural Health Unit,Government,National Government,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),3,LANAO DEL SUR,BACOLOD-KALAWI,ILIAN,0,0
DOH000000000007396,BALABAGAN RURAL HEALTH UNIT,Rural Health Unit,Government,National Government,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),4,LANAO DEL SUR,BALABAGAN,POBLACION,0,0
DOH000000000005730,BALINDONG RURAL HEALTH UNIT,Rural Health Unit,Government,National Government,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),5,LANAO DEL SUR,BALINDONG,POBLACION,0,0
DOH000000000002610,BARIRA RURAL HEALTH UNIT,Rural Health Unit,Government,National Government,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),6,MAGUINDANAO DEL NORTE,BARIRA,LIPAWAN,0,0
DOH000000000001968,BAYANG RURAL HEALTH UNIT,Rural Health Unit,Government,National Government,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),7,LANAO DEL SUR,BAYANG,MALIWANAG,0,0
DOH000000000005035,BINIDAYAN RURAL HEALTH UNIT,Rural Health Unit,Government,National Government,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),8,LANAO DEL SUR,BINIDAYAN,BASAK,0,0
DOH000000000004783,BONGAO RURAL HEALTH UNIT,Rural Health Unit,Government,National Government,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),9,TAWI-TAWI,BONGAO (CAPITAL),PAG-ASA,0,0
DOH000000000000118,BUADIPOSO BUNTONG RURAL HEALTH UNIT,Rural Health Unit,Government,National Government,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),10,LANAO DEL SUR,BUADIPOSO-BUNTONG,MANACAB (POB.),0,0
DOH000000000003713,BUBONG RURAL HEALTH UNIT,Rural Health Unit,Government,National Government,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),11,LANAO DEL SUR,BUBONG,MONTIAAN,0,0
DOH000000000002925,BULDON RURAL HEALTH UNIT,Rural Health Unit,Government,National Government,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),12,MAGUINDANAO DEL NORTE,BULDON,CALAAN (POB.),0,0
DOH000000000002654,BULUAN RURAL HEALTH UNIT,Rural Health Unit,Government,National Government,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),13,MAGUINDANAO DEL SUR,BULUAN,POBLACION,0,0
DOH000000000004678,BUMBARAN RURAL HEALTH UNIT,Rural Health Unit,Government,National Government,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),14,LANAO DEL SUR,AMAI MANABILANG,FRANKFORT,0,0
DOH000000000006846,BUTIG RURAL HEALTH UNIT,Rural Health Unit,Government,National Government,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),15,LANAO DEL SUR,BUTIG,BAYABAO POBLACION,0,0
DOH000000000031741,CABINGAN RURAL HEALTH UNIT,Rural Health Unit,Government,National Government,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),16,LANAO DEL SUR,CITY OF MARAWI (CAPITAL),CABINGAN,0,0
DOH000000000007223,CALANOGAS RURAL HEALTH UNIT,Rural Health Unit,Government,National Government,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),17,LANAO DEL SUR,CALANOGAS,PIKSAN,0,0
DOH000000000004552,DATU ABULLAH SANGKI RURAL HEALTH UNIT,Rural Health Unit,Government,National Government,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),18,MAGUINDANAO DEL SUR,DATU ABDULLAH SANGKI,BANABA,0,0
DOH000000000003107,DATU ANGGAL MIDTIMBANG RURAL HEALTH UNIT,Rural Health Unit,Government,National Government,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),19,MAGUINDANAO DEL SUR,DATU ANGGAL MIDTIMBANG,ADAON,0,0
DOH000000000003590,DATU BLAH T. SINSUAT RURAL HEALTH UNIT,Rural Health Unit,Government,National Government,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),20,MAGUINDANAO DEL NORTE,DATU BLAH T. SINSUAT,MATUBER,0,0
DOH000000000032013,DATU HOFFER AMPATUAN RURAL HEALTH UNIT,Rural Health Unit,Government,National Government,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),21,MAGUINDANAO DEL SUR,DATU HOFFER AMPATUAN,LIMPONGO,0,1
DOH000000000006418,DATU MONTAWAL RURAL HEALTH UNIT,Rural Health Unit,Government,National Government,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),22,MAGUINDANAO DEL SUR,PAGAGAWAN,TUNGGOL,0,0
DOH000000000005063,DATU ODIN SINSUAT RURAL HEALTH UNIT,Rural Health Unit,Government,National Government,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),23,MAGUINDANAO DEL NORTE,DATU ODIN SINSUAT,DALICAN POBLACION,0,0
DOH000000000002842,DATU PAGLAS RURAL HEALTH UNIT,Rural Health Unit,Government,National Government,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),24,MAGUINDANAO DEL SUR,DATU PAGLAS,POBLACION,0,0
DOH000000000007306,DATU PIANG RURAL HEALTH UNIT,Rural Health Unit,Government,National Government,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),25,MAGUINDANAO DEL SUR,DATU PIANG,POBLACION,1,0
DOH000000000031606,DATU SALIBO RURAL HEALTH UNIT,Rural Health Unit,Government,National Government,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),26,MAGUINDANAO DEL SUR,DATU SALIBO,SAMBULAWAN,0,0
DOH000000000003435,DATU SAUDI AMPATUAN RURAL HEALTH UNIT,Rural Health Unit,Government,National Government,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),27,MAGUINDANAO DEL SUR,DATU SAUDI-AMPATUAN,SALBU,0,0
DOH000000000005548,DATU UNSAY RURAL HEALTH UNIT,Rural Health Unit,Government,National Government,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),28,MAGUINDANAO DEL SUR,DATU UNSAY,MAITUMAIG,0,0
DOH000000000002981,DITSAAN-RAMAIN RURAL HEALTH UNIT,Rural Health Unit,Government,National Government,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),29,LANAO DEL SUR,DITSAAN-RAMAIN,BAGOAINGUD,0,0
DOH000000000001906,GANASSI RURAL HEALTH UNIT,Rural Health Unit,Government,National Government,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),30,LANAO DEL SUR,GANASSI,POBLACION,0,0
