Health Facility Code,Health Facility Code Short,Facility Name,Facility Major Type,Health Facility Type,class,Street Name and #,Region Name,Region PSGC,Province Name,Province PSGC,City/Municipality Name,City/Municipality PSGC,Barangay Name,Barangay PSGC,Zip Code,Landline Number,Landline Number 2,Fax Number,Email Address,Service Capability,Bed Capacity,Licensing Status,License Validity Date
DOH000000000003116,3116,NORTHERN SAMAR PROVINCIAL HOSPITAL,Health Facility,Hospital,Government,BALITE STREET,REGION VIII (EASTERN VISAYAS),0800000000,NORTHERN SAMAR,0804800000,CATARMAN (CAPITAL),0804805000,ACACIA (POB.),0804805062,6400,NA,NA,NA,nsph_1956@yahoo.com,Level 1,100,Licensing Status:With License,NA
DOH000000000033023,33023,SUMISIP RURAL HEALTH UNIT BIRTHING HOME,Health Facility,Birthing Home,Government,ZONE 09,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),1900000000,BASILAN,1900700000,SUMISIP,1900705000,TUMAHUBONG,1900705022,NA,NA,NA,NA,NA,NA,0,Licensing Status:With License,NA
DOH000000000040048,40048,BARILI INFIRMARY,Health Facility,Infirmary,Government,"M. ZOSA ST.,",REGION VII (CENTRAL VISAYAS),0700000000,CEBU,0702200000,BARILI,0702210000,POBLACION,0702210038,6036,(032) 5172264,NA,NA,barili.infirmary21@gmail.com,NA,8,Licensing Status:With License,NA
DOH000000000000258,258,DR. EMIGDIO C. CRUZ SR. MEMORIAL HOSPITAL,Health Facility,Hospital,Government,NA,REGION III (CENTRAL LUZON),0300000000,PAMPANGA,0305400000,ARAYAT,0305403000,SAN AGUSTIN NORTE,0305403020,2012,+63 458857037,NA,NA,eccsmh@gmail.com,Level 1,25,Licensing Status:With License,NA
DOH000000000000566,566,HINUNANGAN COMMUNITY HOSPITAL,Health Facility,Infirmary,Government,NA,REGION VIII (EASTERN VISAYAS),080000000,SOUTHERN LEYTE,080640000,HINUNANGAN,080640300,BANGCAS A,0806403003,6608,NA,NA,NA,NA,NA,10,Licensing Status:With License,12/31/2023
DOH000000000038553,38553,SANTOL LYING-IN CLINIC,Health Facility,Birthing Home,Government,PADAYAO,REGION I (ILOCOS REGION),010000000,LA UNION,010330000,SANTOL,010331800,POBLACION,0103318010,2516,(072)619-4164,NA,NA,santolrhunew@gmail.com,NA,6,NA,NA
DOH000000000046049,46049,ANILAO RURAL HEALTH UNIT AND BIRTHING CENTER,Health Facility,Birthing Home,Government,NA,REGION VI (WESTERN VISAYAS),0600000000,ILOILO,0603000000,ANILAO,0603003000,POBLACION,0603003015,5009,033-3232205,NA,NA,anilao_rhu@yahoo.com,NA,5,Licensing Status:With License,12/31/2023
DOH000000000032554,32554,IROSIN RURAL HEALTH UNIT LYING IN,Health Facility,Birthing Home,Government,MANUEL ROXAS STREET,REGION V (BICOL REGION),0500000000,SORSOGON,0506200000,IROSIN,0506209000,SAN JUAN (POB.),0506209023,NA,NA,NA,NA,NA,NA,4,Licensing Status:With License,NA
DOH000000000003928,3928,LIANGA DISTRICT HOSPITAL,Health Facility,Hospital,Government,PUROK 1 NATIONAL HIGHWAY,REGION XIII (CARAGA),1600000000,SURIGAO DEL SUR,1606800000,LIANGA,1606811000,POBLACION,1606811010,8307,(086) 2144031,NA,NA,LIANGADISTRICTHOSPITAL@YAHOO.COM,Level 1,25,Licensing Status:With License,NA
DOH000000000004961,4961,TABANGO COMMUNITY HOSPITAL,Health Facility,Infirmary,Government,SITIO SHAMROCK,REGION VIII (EASTERN VISAYAS),0800000000,LEYTE,0803700000,TABANGO,0803745000,POBLACION,0803745011,6536,+63 535519458,NA,NA,tabango_communityhospital@yahoo.com,NA,10,Licensing Status:With License,NA
DOH000000000000440,440,CALUMPIT DISTRICT HOSPITAL,Health Facility,Hospital,Government,NA,REGION III (CENTRAL LUZON),0300000000,BULACAN,0301400000,CALUMPIT,0301407000,CANIOGAN,0301407008,3003,+63 442024415,NA,NA,cdh@bulacan.gov.ph,Level 1,25,Licensing Status:With License,NA
DOH000000000039125,39125,RURAL HEALTH UNIT - DEL CARMEN,Health Facility,Birthing Home,Government,PUROK 4,REGION XIII (CARAGA),1600000000,SURIGAO DEL NORTE,1606700000,DEL CARMEN,1606708000,DEL CARMEN (POB.),1606708009,NA,NA,NA,NA,delcarmenrhu@gmail.com,NA,2,Licensing Status:With License,NA
DOH000000000032970,32970,DITSAAN-RAMAIN RURAL HEALTH UNIT BIRTHING HOME,Health Facility,Birthing Home,Government,NA,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),1900000000,LANAO DEL SUR,1903600000,DITSAAN-RAMAIN,1903624000,BAGOAINGUD,1903624001,NA,NA,NA,NA,NA,NA,0,Licensing Status:With License,NA
DOH000000000041843,41843,CITY GOVERNMENT OF DAVAO BUNAWAN LYING-IN,Health Facility,Birthing Home,Government,NA,REGION XI (DAVAO REGION),1100000000,DAVAO DEL SUR,1130700000,CITY OF DAVAO,1130700000,BUNAWAN (POB.),1130700022,NA,NA,NA,NA,NA,NA,2,Licensing Status:With License,NA
DOH000000000032990,32990,TAGOLOAN RURAL HEALTH UNIT BIRTHING HOME,Health Facility,Birthing Home,Government,NA,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),1900000000,LANAO DEL SUR,1903600000,TAGOLOAN II,1903638000,KINGAN,1903638017,NA,NA,NA,NA,NA,NA,0,Licensing Status:With License,NA
DOH000000000033117,33117,MARUING BARANGAY HEALTH STATION BIRTHING HOME,Health Facility,Birthing Home,Government,NA,REGION IX (ZAMBOANGA PENINSULA),0900000000,ZAMBOANGA DEL SUR,0907300000,LAPUYAN,0907313000,MARUING,0907313016,NA,NA,NA,NA,NA,NA,0,Licensing Status:With License,NA
DOH000000000039471,39471,SAN FERNANDO BIRTHING CENTER,Health Facility,Birthing Home,Government,NA,REGION VII (CENTRAL VISAYAS),0700000000,CEBU,0702200000,SAN FERNANDO,0702241000,POBLACION SOUTH,0702241018,6018,+63 322721054,NA,NA,SANFERNANDOBIRTHING@gmail.com,NA,2,Licensing Status:With License,NA
DOH000000000003045,3045,VALDERRAMA MUNICIPAL HOSPITAL,Health Facility,Infirmary,Government,NA,REGION VI (WESTERN VISAYAS),060000000,ANTIQUE,060060000,VALDERRAMA,060061800,UBOS (POB.),0600618021,5703,NA,NA,NA,valderrama_municipal_hospital@yahoo.com,NA,10,Licensing Status:With License,12/31/2023
DOH000000000007712,7712,UNAYAN MUNICIPAL HOSPITAL,Health Facility,Hospital,Government,NA,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),1900000000,LANAO DEL SUR,1903600000,BINIDAYAN,1903605000,PAGALAMATAN (POB.),1903605020,9310,NA,NA,NA,NA,Level 1,10,Licensing Status:With License,NA
DOH000000000004957,4957,OLUTANGA MUNICIPAL HOSPITAL,Health Facility,Infirmary,Government,NA,REGION IX (ZAMBOANGA PENINSULA),0900000000,ZAMBOANGA SIBUGAY,0908300000,OLUTANGA,0908310000,BATERIA,0908310002,7041,NA,NA,NA,NA,NA,10,Licensing Status:With License,12/31/2023
DOH000000000002789,2789,WEST VISAYAS STATE UNIVERSITY MEDICAL CENTER,Health Facility,Hospital,Government,E. LOPEZ STREET,REGION VI (WESTERN VISAYAS),0600000000,ILOILO,0631000000,CITY OF ILOILO (CAPITAL),0631000000,LOPEZ JAENA,0631000093,5000,+63 333202431,NA,+63 333202623,wvsumedcenter@yahoo.com,Level 3,300,Licensing Status:With License,NA
DOH000000000038686,38686,RHU LYING-IN CLINIC OF THE MUNICIPALITY OF BINALONAN,Health Facility,Birthing Home,Government,NA,REGION I (ILOCOS REGION),010000000,PANGASINAN,010550000,BINALONAN,010551200,POBLACION,0105512015,NA,63,63,NA,NA,NA,6,Licensing Status:Without License,NA
DOH000000000004453,4453,AMMA JADSAC DISTRICT HOSPITAL,Health Facility,Infirmary,Government,NA,CORDILLERA ADMINISTRATIVE REGION (CAR),140000000,APAYAO,140810000,PUDTOL,140810600,POBLACION,1408106016,3812,NA,NA,NA,ajdh.hospital@gmail.com,NA,18,Licensing Status:With License,12/31/2023
DOH000000000000401,401,ABUYOG DISTRICT HOSPITAL,Health Facility,Hospital,Government,MAHARLIKA HIGHWAY,REGION VIII (EASTERN VISAYAS),0800000000,LEYTE,0803700000,ABUYOG,0803701000,BUNGA,0803701014,6510,NA,NA,NA,adh.leyte@yahoo.com,Level 1,30,Licensing Status:With License,NA
DOH000000000039103,39103,JANNES VIAJAR JAINAR BIRTHING CLINIC,Health Facility,Birthing Home,Government,PUROK 4,REGION XIII (CARAGA),160000000,AGUSAN DEL SUR,160030000,BUNAWAN,160030200,SAN TEODORO,1600302010,8600,NA,NA,NA,mhobunawan@gmail.com,NA,2,Licensing Status:With License,12/31/2023
DOH000000000033024,33024,TUBUAN LASA RURAL HEALTH UNIT BIRTHING HOME,Health Facility,Birthing Home,Government,NA,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),1900000000,BASILAN,1900700000,TABUAN-LASA,1900713000,LANAWAN,1900713006,NA,NA,NA,NA,NA,NA,0,Licensing Status:With License,NA
DOH000000000005950,5950,CAMP AQUINO STATION HOSPITAL,Health Facility,Hospital,Government,CAMP GEN. S. AQUINO,REGION III (CENTRAL LUZON),0300000000,TARLAC,0306900000,CITY OF TARLAC (CAPITAL),0306916000,SAN MIGUEL,0306916068,2300,+63 454914925,NA,NA,cashnolcom@yahoo.com,Level 1,29,Licensing Status:With License,NA
DOH000000000040214,40214,VICTORIA MUNICIPAL HEALTH OFFICE,Health Facility,Birthing Home,Government,NA,MIMAROPA REGION,170000000,ORIENTAL MINDORO,170520000,VICTORIA,170521500,POBLACION I,1705215018,5205,NA,NA,NA,rhuvictoria2018@gmail.com,NA,3,Licensing Status:With License,NA
DOH000000000033150,33150,MANICAHAN HEALTH CENTER BIRTHING HOME,Health Facility,Birthing Home,Government,NA,REGION IX (ZAMBOANGA PENINSULA),090000000,ZAMBOANGA DEL SUR,090730000,CITY OF ZAMBOANGA,093170000,MANICAHAN,0931700051,NA,NA,NA,NA,NA,NA,1,Licensing Status:With License,12/31/2023
DOH000000000032342,32342,RHU I Talavera Paanakang Pambayan,Health Facility,Birthing Home,Government,QUEZON STREET,REGION III (CENTRAL LUZON),0300000000,NUEVA ECIJA,0304900000,TALAVERA,0304930000,PAG-ASA (POB.),0304930042,NA,NA,NA,NA,phtalavera3114@gmail.com,NA,0,Licensing Status:With License,NA
DOH000000000007030,7030,LAUREL MEMORIAL DISTRICT HOSPITAL,Health Facility,Hospital,Government,NA,REGION IV-A (CALABARZON),0400000000,BATANGAS,0401000000,CITY OF TANAUAN,0401031000,SANTOR,0401031043,4232,+63 437233011,NA,NA,NA,Level 1,25,Licensing Status:With License,NA
DOH000000000036433,36433,SKILLED BIRTH ATTENDANT FACILITY-RURAL HEALTH UNIT,Health Facility,Birthing Home,Government,RIZAL AVENUE,REGION XII (SOCCSKSARGEN),1200000000,COTABATO,1204700000,KABACAN,1204703000,POBLACION,1204703019,9407,+63 645720389,NA,NA,kabacan_rhu@yahoo.com,NA,5,Licensing Status:With License,NA
